"","clusters","regression_value","after_Jan2010_count","after_Jan2014_count","after_Jun2014_count","after_Jan2015_count","weighted_regression_value","ratings_avg","users_sum"
"127",54,7.5,2,0,0,0,5.433333332,2.523219814,2.153333333
"1908",2,42,10,1,1,0,37.38333333,4.035624325,9.263333333
"3306",2,35,7,7,7,3,32.1,4.848942598,6.62
"3157",4,54,17,8,4,2,67.74000001,3.099519561,21.855
"1016",183,176,40,20,17,4,176.1283333,3.858514678,45.64666667
"1685",13,148,32,6,6,1,389.5566666,4.202866236,92.68833333
"714",4,38.5,11,5,4,1,64.01333333,3.885483055,16.475
"483",33,100,21,11,8,3,111.075,3.740318779,29.69666667
"2275",19,13.5,3,1,0,0,17.95833333,4.425051335,4.058333333
"3332",261,135,43,21,18,8,160.235,2.984355114,53.69166667
"2709",4,13.5,2,2,1,0,15.385,4.25,3.62
"2102",404,6,3,2,2,2,6,2,3
"2061",32,1360,288,81,61,19,1859.285,3.804098822,488.7583333
"87",31,32,6,3,3,2,27.525,4.66130398,5.905
"1171",57,112.5,24,6,6,2,304.0566667,4.778386024,63.63166667
"3321",32,17.5,1,0,0,0,24.31333333,1.8221334,13.34333333
"945",3,150.5,40,14,14,14,198.6666667,3.29281768,60.33333333
"556",19,36,7,0,0,0,234.4933333,4.722927157,49.65
"3161",536,15,3,1,1,0,11.975,5,2.395
"1096",273,6,3,1,1,1,9.506666665,1.627853881,5.84
"2160",3,70,11,3,2,1,54.12166665,4.841657969,11.17833333
"3298",32,44,8,0,0,0,107.8116667,3.770297838,28.595
"173",3,84,24,14,14,14,105.3333333,3.472527473,30.33333333
"3325",3,108,16,5,3,1,122.1633333,4.052972076,30.14166667
"2203",25,816,150,40,35,18,1099.445,4.002445151,274.6933333
"292",15,21,5,0,0,0,55.39833333,3.378290477,16.39833333
"1454",112,28,5,1,1,1,31.61333333,3.274861878,9.653333333
"3458",9,103.5,23,8,8,4,182.9483334,4.48439415,40.79666667
"1348",2,296,66,17,14,6,433.85,4.010445554,108.18
"3002",3,206.5,50,15,10,6,208.8316667,3.776568811,55.29666667
"1150",4,10.5,2,2,2,1,14.23833334,3.986467569,3.571666667
"855",221,12,4,0,0,0,11.95,2.754514022,4.338333333
"2787",494,196,40,12,6,3,246.0433333,3.8604116,63.735
"2501",15,57.5,14,0,0,0,79.73333331,2.592251422,30.75833333
"2997",181,21,5,1,1,1,50.68666668,3.572838346,14.18666667
"3199",102,4.5,2,1,0,0,7.464999998,1.783751493,4.185
"1205",25,25,4,2,2,1,18.625,5,3.725
"1252",94,15,4,2,1,1,14.23833333,2.411233418,5.905
"1483",20,52,11,3,1,1,85.43333335,4.055379747,21.06666667
"934",7,36,13,4,3,0,86.93333332,3.123166277,27.835
"3016",3,18,3,1,1,0,17.10333333,3.015574493,5.671666667
"806",211,7.5,3,1,1,1,17.345,2.939000282,5.901666667
"3558",255,13.5,2,1,0,0,12.725,5,2.545
"979",3,92,17,5,2,2,64.5,3.953417101,16.315
"2245",4,40,8,3,3,1,56.425,4.912929909,11.485
"932",57,896,159,42,31,12,2285.441667,4.240492433,538.9566667
"905",234,45,10,4,2,2,53.01666669,4.666275488,11.36166667
"18",3,75,11,0,0,0,53.28166668,2.504229986,21.27666667
"52",2,665,135,42,27,8,892.8016667,3.658798298,244.015
"381",19,25,5,3,3,1,59.40833335,4.917229963,12.08166667
"437",2,469,116,45,34,14,582.0416666,3.677678553,158.2633333
"2046",7,49,16,10,9,7,137.6416667,3.712185913,37.07833333
"1436",10,31.5,4,2,2,0,85.59833335,4.514283203,18.96166667
"2620",73,20,4,2,2,2,18.2,5,3.64
"367",25,103.5,19,6,5,1,101.6083333,4.585213598,22.16
"3387",562,24.5,5,2,1,1,28.98833333,3.796769264,7.635
"3073",198,16,4,1,1,0,13.27166667,3.928465713,3.378333333
"3336",15,348,70,24,19,8,542.1616667,4.141642158,130.905
"2888",15,25,6,2,1,1,28.65833333,4.564640297,6.278333333
"267",2,13.5,1,0,0,0,6.758333335,5,1.351666667
"2850",3,45.5,12,5,4,2,113.9283334,3.818400179,29.83666667
"1753",370,10.5,2,1,1,1,9.1,5,1.82
"2032",10,16,7,1,0,0,21.27333333,1.877058824,11.33333333
"2796",3,21,4,2,0,0,13.84166667,3.862790698,3.583333333
"1402",10,40,9,0,0,0,31.74,3.87309335,8.195
"2416",2,28,8,3,2,1,26.57166667,3.452360329,7.696666667
"1278",4,244,55,24,14,9,368.0816667,4.011424939,91.75833333
"2991",3,124,25,10,5,1,251.8716666,4.0220099,62.62333333
"2944",350,76.5,16,5,4,2,69.58833335,4.558187773,15.26666667
"2649",147,58.5,11,3,3,1,123.8983333,4.390444129,28.22
"1442",329,15,5,3,2,1,22.48,3.395770393,6.62
"890",229,14,5,2,2,1,17.54,3.859185919,4.545
"991",32,30,6,1,1,1,26.025,5,5.205
"515",2,120,37,11,9,4,138.1716667,2.924680731,47.24333333
"694",3,59.5,16,2,1,0,56.075,3.357784431,16.7
"566",19,25,10,0,0,0,22.44,2.538461538,8.84
"85",4,20,4,3,3,3,47.43333334,5,9.486666667
"3276",4,52.5,16,13,12,2,59.96499999,3.576796898,16.765
"1823",4,248.5,52,1,1,0,789.7433334,4.170004928,189.3866667
"2056",3,63,13,4,3,0,57.77333332,3.803796774,15.18833333
"1364",10,12,3,0,0,0,19.35333333,3.571824054,5.418333333
"274",67,12,3,1,1,0,25.39166667,3.695124909,6.871666667
"2162",37,20,4,1,1,0,20.51333333,4.175033921,4.913333333
"736",15,31.5,6,0,0,0,27.83333333,3.581385374,7.771666667
"2729",3,12,8,4,3,3,11.725,1.517799353,7.725
"2209",3,1130.5,303,74,58,24,1544.93,3.560840504,433.8666667
"596",60,6,3,1,0,0,5.439999999,1.996330275,2.725
"2471",10,20,4,1,1,0,93.77166665,4.227122464,22.18333333
"1052",32,456,96,28,20,9,645.0383334,4.076071617,158.25
"2097",32,112,29,17,15,6,167.7216667,3.64995829,45.95166667
"286",4,70,22,0,0,0,144.56,3.16705006,45.645
"3258",57,269.5,71,32,23,6,419.8566665,3.846837492,109.1433333
"2614",3,28,8,0,0,0,34.23499999,2.549460097,13.42833333
"302",90,36,8,1,1,0,40.26166667,4.222513547,9.535
"409",4,1376,315,204,155,68,1839.536667,3.816730064,481.9666667
"1475",2,12,2,2,2,0,16.265,3.601107011,4.516666667
"3046",3,132,31,20,20,15,176.865,3.701653411,47.78
"2587",2,14,3,1,0,0,22.95,3,7.65
"941",131,14,3,1,0,0,12.60666667,3.018355946,4.176666667
"1635",15,8,3,1,0,0,37.70666667,2.14771217,17.55666667
"328",113,13.5,3,0,0,0,10.78,4.408997955,2.445
"1405",4,16,3,2,1,0,24.005,3.532744665,6.795
"1640",8,1068,242,71,56,20,1350.078333,4.187501292,322.4066667
"1927",19,40.5,6,3,3,3,30,5,6
"282",3,20,4,2,2,2,25,5,5
"271",3,10.5,3,2,1,1,14.43,3.060445387,4.715
"40",24,30,5,1,1,1,23.2,5,4.64
"2827",502,13.5,3,1,1,1,16.95333333,4.534997771,3.738333333
"423",57,14,4,2,1,0,16.65,3.103448276,5.365
"1260",300,17.5,4,1,0,0,69.15666669,4.259289674,16.23666667
"1138",255,7.5,3,2,2,1,16.49333334,2.870069606,5.746666667
"623",3,404,93,37,26,9,471.0516666,3.883360813,121.3
"1351",19,18,4,1,1,0,26.85833333,4.13948112,6.488333333
"632",31,12.5,5,1,1,0,11.72333333,2.430545957,4.823333333
"1457",65,175.5,36,0,0,0,304.2583333,4.510872251,67.45
"2390",3,31.5,8,8,8,0,33.18333333,3.793103448,8.748333333
"88",19,35,7,1,0,0,23.27666667,2.770482047,8.401666667
"304",32,12,3,1,1,1,15,4.090909091,3.666666667
"3433",15,7.5,3,0,0,0,5.631666669,2.394755493,2.351666667
"2954",2,36,8,4,3,1,93.13166666,4.579119889,20.33833333
"555",168,58.5,9,3,2,0,37.95,4.230769231,8.97
"2757",13,15,0,0,0,0,26.215,2.712832011,9.663333333
"2838",3,18,3,1,0,0,10.87166667,4.363210702,2.491666667
"2929",252,27,5,0,0,0,53.50666667,2.932675619,18.245
"2182",2,60,14,7,5,3,99.77833331,3.578421996,27.88333333
"3365",15,24,6,1,1,1,53.66666665,4.351351351,12.33333333
"160",19,66,25,9,7,3,119.0033333,2.349368255,50.65333333
"2117",15,44,10,6,5,2,54.32833334,4.264390372,12.74
"208",10,40,8,4,1,1,149.0833333,4.858772406,30.68333333
"2300",15,542.5,144,52,37,13,638.7766667,3.269992407,195.345
"487",148,52,16,6,2,1,153.84,4.037795276,38.1
"1054",255,280,65,23,18,9,370.5833333,4.142601632,89.45666667
"3460",2,65,17,7,6,3,104.595,2.687550854,38.91833333
"1856",318,36,6,1,1,0,50.74833334,3.693026076,13.74166667
"3026",15,25,5,3,3,1,24.05,5,4.81
"1488",99,20,5,1,1,1,19.4,4.145299145,4.68
"1673",3,36,7,2,1,1,42.29666666,4.277431316,9.888333333
"70",19,20,6,1,1,1,31.32666668,2.724847782,11.49666667
"770",207,20,3,1,1,0,58.31666665,5,11.66333333
"3520",101,25,5,0,0,0,45.04166667,5,9.008333333
"390",126,27,6,3,2,2,41.95333334,4.508687086,9.305
"1506",2,464,104,44,31,17,558.2883334,3.735827803,149.4416667
"3491",99,15,3,0,0,0,16.3,5,3.26
"1479",19,129.5,31,6,4,1,211.0583333,3.526553232,59.84833333
"242",3,55,22,22,22,7,64.80666666,2.610014767,24.83
"2585",467,12,4,3,3,1,11.41166667,2.893913779,3.943333333
"29",7,22.5,5,0,0,0,30.20666667,4.623469388,6.533333333
"1067",203,477,81,23,20,7,499.4666666,4.190918372,119.1783333
"7",8,15,3,2,2,2,14.1,5,2.82
"2982",270,10.5,3,2,1,1,9.620000001,3.311531842,2.905
"1933",5,47.5,18,2,0,0,134.6966667,2.647600328,50.875
"795",25,15,4,3,0,0,67.76333335,4.46349764,15.18166667
"607",15,8,3,1,0,0,11.77,1.707859734,6.891666667
"3374",4,90,19,5,5,4,95.28833334,4.438208353,21.47
"373",3,122.5,38,0,0,0,115.3266666,2.683992087,42.96833333
"536",164,18,3,1,0,0,13.49833333,4.657274296,2.898333333
"2189",413,9,3,2,2,0,9.315,3,3.105
"3380",252,21,3,1,1,1,34.25000001,2.496962333,13.71666667
"998",65,104,19,15,15,8,164.0233333,3.847001798,42.63666667
"2924",37,13.5,2,0,0,0,19.13333334,5,3.826666667
"3517",65,108.5,25,7,7,1,111.9383333,3.439670183,32.54333333
"1898",25,20,4,2,1,1,23.985,4.491573034,5.34
"1997",390,13.5,3,0,0,0,13.27833333,4.75641791,2.791666667
"1562",343,18,9,2,2,0,19.99500001,1.889588912,10.58166667
"1921",32,87.5,12,0,0,0,81.07666667,3.954637834,20.50166667
"1022",3,15,3,1,0,0,15.29166667,5,3.058333333
"1477",4,19,19,9,8,3,55.82166665,1.085004373,51.44833333
"2208",4,112,28,6,5,1,204.0516666,3.690682181,55.28833333
"2988",365,22.5,2,1,1,0,57.10666668,4,14.27666667
"1448",3,20,3,3,3,3,15,5,3
"2727",19,30,9,2,1,0,22.49166667,2.993566992,7.513333333
"1066",124,96,41,16,13,6,135.0416667,2.000913716,67.49
"2591",2,52.5,11,1,0,0,92.85499999,3.669432918,25.305
"2163",3,15,5,0,0,0,40.95333332,3.231457128,12.67333333
"873",223,40.5,9,4,1,1,41.27333333,4.323324022,9.546666667
"125",4,65,8,3,2,1,65.56666665,5,13.11333333
"3249",24,24,6,2,2,1,56.83333333,4.082854406,13.92
"3272",4,1516.5,313,191,147,68,1828.515,4.249445148,430.295
"2177",73,1080,258,102,79,43,1385.423333,4.299107859,322.2583333
"1616",3,57.5,19,5,5,2,122.1683333,3.067372474,39.82833333
"1591",204,52.5,11,3,3,0,95.07166668,3.843349953,24.73666667
"1566",19,84,19,6,5,3,136.0166667,3.340701625,40.715
"889",4,20,4,1,1,1,22.3,5,4.46
"1273",302,13.5,0,0,0,0,33.8,4.0625,8.32
"587",99,48,13,3,2,1,51.83333334,4.241680306,12.22
"3014",2,16,0,0,0,0,28.345,4.262406015,6.65
"2677",7,148,34,11,10,2,142.7633333,3.824871623,37.325
"958",7,126,38,18,11,7,133.9666666,3.171559343,42.24
"51",4,45,18,4,4,1,108.9483333,2.402918688,45.34
"2385",88,1197,219,59,38,16,1685.505,4.189411545,402.325
"320",8,70,18,7,6,3,68.48500001,3.21425219,21.30666667
"3370",4,15,3,0,0,0,16.43333334,5,3.286666667
"2741",4,560,152,69,69,69,840,3.652173913,230
"2093",32,21,5,1,0,0,14.25666667,3.257425743,4.376666667
"2573",15,21,5,0,0,0,30.05333334,3.334319527,9.013333333
"2010",393,60,20,6,6,4,60.04499999,2.844611133,21.10833333
"629",174,38.5,9,3,1,0,35.81833334,3.401012818,10.53166667
"3227",32,36,3,0,0,0,27.93,3.379310345,8.265
"153",15,63,14,9,8,3,152.265,3.742534103,40.685
"2369",2,912,242,74,48,17,914.1116667,2.753528092,331.9783333
"1659",19,70,19,10,9,7,152.6783333,3.708184909,41.17333333
"3003",409,20,5,3,2,0,19.055,4.201764057,4.535
"1282",307,45.5,11,5,5,5,38.99999999,3.441176471,11.33333333
"3292",4,66.5,18,11,8,2,67.40666666,3.272962693,20.595
"1993",47,58.5,12,4,4,1,70.36833333,4.472089821,15.735
"213",15,28,8,3,3,0,39.50499999,3.867983029,10.21333333
"1864",139,80.5,18,7,5,1,94.99333334,3.527853429,26.92666667
"2960",12,35,8,7,6,4,25.575,3.314970836,7.715
"43",15,152.5,47,21,14,10,160.4816667,2.373111522,67.625
"3490",60,353.5,94,25,19,1,581.5400001,3.883881165,149.7316667
"1910",4,64,15,8,8,5,57.93833334,3.832745314,15.11666667
"1788",10,507.5,125,63,46,24,667.2300002,3.740672566,178.3716667
"3425",32,10.5,2,1,1,1,15.45333333,3.6105919,4.28
"359",92,328,80,23,16,5,501.5033335,4.232929128,118.4766667
"1159",3,15,3,2,2,0,14.71666667,5,2.943333333
"3349",248,13.5,3,1,1,1,27.65333334,4.150075038,6.663333333
"564",4,20,5,3,2,1,36.48833333,4.123752119,8.848333333
"2590",219,12,7,3,2,0,10.66666667,1.398601399,7.626666667
"1295",177,72,16,6,6,4,130.1716667,4.120660547,31.59
"2299",19,77,19,3,2,1,135.3333333,3.053664774,44.31833333
"3259",15,139.5,27,9,8,2,122.1733334,4.729595458,25.83166667
"330",19,87,27,27,27,7,122.0683333,2.828930089,43.15
"283",45,56,12,5,4,1,81.16166668,4.655990056,17.43166667
"2192",15,10.5,2,0,0,0,3.706666666,2.449339207,1.513333333
"443",141,84,19,9,7,3,98.08333335,3.930145586,24.95666667
"3402",1,63,20,11,7,2,59.17833333,3.134722345,18.87833333
"2691",4,33,9,3,3,1,64.63,2.860156365,22.59666667
"717",19,50,9,3,2,0,41.225,5,8.245
"1297",15,35,6,4,2,0,65.10833333,2.834288616,22.97166667
"1609",1,14,4,1,0,0,47.75166666,4.001536313,11.93333333
"2782",4,55,11,5,3,1,52.23333335,5,10.44666667
"1567",97,45.5,11,3,2,1,55.01,3.601309329,15.275
"3480",3,17.5,7,1,1,0,37.37166667,3.113873073,12.00166667
"2672",2,51,14,7,5,3,56.38833334,3.127472731,18.03
"2908",512,20,4,3,3,0,18.54166667,5,3.708333333
"2717",15,10.5,2,0,0,0,9.566666668,3.181818182,3.006666667
"522",80,10,3,1,0,0,4.158333335,1.408808583,2.951666667
"2025",32,20,4,1,0,0,16.35,4.711815562,3.47
"2318",4,67.5,22,8,5,3,133.255,2.825394021,47.16333333
"1240",4,645,202,151,106,44,953.2183334,3.388979747,281.27
"148",3,462,101,28,23,13,600.5916669,3.814693273,157.4416667
"3484",4,15,6,3,0,0,26.31833333,2.375658192,11.07833333
"3008",25,10.5,2,0,0,0,19.41333333,4,4.853333333
"1634",2,201,67,28,19,11,218.9883333,2.895777317,75.62333333
"392",13,200,41,12,9,1,292.3283333,4.19790819,69.63666667
"546",166,32,7,2,2,1,25.095,3.834224599,6.545
"3432",171,51,18,9,8,3,83.655,3.156991006,26.49833333
"3065",19,483,99,32,22,8,534.3233335,3.556189061,150.2516667
"3234",40,4.5,2,0,0,0,1.64,1,1.64
"3538",2,27,10,3,3,3,48.66666668,3.318181818,14.66666667
"3186",3,45,13,4,2,2,108.3466667,3.707328201,29.225
"1826",4,40,9,2,2,1,34.21,4.131642512,8.28
"1262",3,203,54,11,9,3,224.1266667,3.647598123,61.445
"23",15,16,11,6,4,1,37.46499999,2.141061053,17.49833333
"1565",177,15,6,0,0,0,11.52833333,2.070338222,5.568333333
"427",92,15,3,0,0,0,29.54,4,7.385
"529",163,7.5,2,1,0,0,4.355,2.524637681,1.725
"1068",32,36,6,1,0,0,28.05,4.375975039,6.41
"2141",7,27,8,6,3,1,38.63,3.283467913,11.765
"290",25,486,97,34,29,12,565.855,3.784350443,149.525
"1246",32,304,63,21,16,6,675.9066665,4.256517906,158.7933333
"3229",177,12,2,0,0,0,14.20666667,4,3.551666667
"3393",90,12,4,1,1,1,10.08,2.311926606,4.36
"2637",33,35,12,6,4,1,34.91000001,2.428240204,14.37666667
"33",15,423.5,120,31,26,12,614.735,3.400835362,180.76
"2608",19,22.5,5,0,0,0,35.33333333,4.686118479,7.54
"2641",475,56,12,5,3,1,93.495,3.777321392,24.75166667
"2841",47,27,5,1,1,0,18.35833333,3.874428421,4.738333333
"767",67,13.5,4,0,0,0,15.97,2.791958042,5.72
"247",19,16,4,0,0,0,14.60833333,3.773138183,3.871666667
"1592",154,20,3,2,2,2,32.08,3.662100457,8.76
"2323",409,472,104,34,24,11,644.5933333,4.12936152,156.1
"859",3,84,31,5,4,3,155.2016667,2.971883577,52.22333333
"1421",9,21,5,0,0,0,12.90666667,2.976172175,4.336666667
"3262",10,10,2,0,0,0,2.903333333,1.559534467,1.861666667
"3295",19,232,53,31,28,10,270.8033333,3.792586714,71.40333333
"892",10,45,9,5,3,2,50.875,5,10.175
"2293",350,17.5,6,3,1,1,12.765,2.429115128,5.255
"2144",4,34,14,1,1,0,29.74500001,1.88478192,15.78166667
"105",32,202.5,33,14,7,4,269.365,4.192125126,64.255
"2324",19,18,8,2,0,0,54.61666667,2.119389471,25.77
"948",243,20,4,3,3,0,14.055,3.975954738,3.535
"1343",88,15,2,1,1,0,9.058333335,5,1.811666667
"2754",443,16,4,1,0,0,12.335,3.891167192,3.17
"2750",20,28,5,2,2,0,71.67500001,4.297921247,16.67666667
"3114",530,12.5,4,3,1,1,7.345,2.023415978,3.63
"3053",15,12,2,0,0,0,22.04,3.88028169,5.68
"1042",142,260,56,22,19,4,304.8,3.808333854,80.035
"1401",326,56,17,13,13,7,53.255,3.292426584,16.175
"165",2,30,10,2,1,0,48.76500001,3.244151236,15.03166667
"1396",7,51,15,5,3,0,153.7333333,3.82532244,40.18833333
"129",15,400,90,36,24,9,730.9049998,4.042318044,180.8133333
"1446",3,22.5,5,2,2,1,25.85833333,4.641040981,5.571666667
"1046",19,20,5,2,2,0,20.38333333,3.963058976,5.143333333
"3235",142,121.5,26,9,5,4,107.1783334,4.468246248,23.98666667
"326",3,9,3,0,0,0,18.69333333,3.446834665,5.423333333
"2131",3,45,8,8,8,6,39.05,5,7.81
"2328",4,22.5,4,3,3,3,21.33333333,4.571428571,4.666666667
"1106",183,42,12,5,4,2,47.16666668,3.087497273,15.27666667
"1169",47,80,13,3,2,0,164.015,4.450881954,36.85
"491",15,12.5,4,0,0,0,5.775,1.931438127,2.99
"3044",3,99,21,16,14,2,98.355,4.617605634,21.3
"299",32,812,193,97,77,36,1087.375,4.052052344,268.3516667
"1658",11,15,5,1,0,0,47.34166665,2.517727353,18.80333333
"55",31,91,23,5,3,0,103.7433333,3.269737879,31.72833333
"2699",2,13.5,3,0,0,0,10.525,4.566160521,2.305
"742",200,220.5,49,15,14,6,432.8533333,4.733223984,91.45
"2751",65,52.5,15,6,6,5,51.62,3.46326736,14.905
"3360",17,25,5,2,1,1,25.29166667,5,5.058333333
"1391",322,7.5,2,0,0,0,28.95333334,3.212278107,9.013333333
"2660",15,84,19,1,1,1,124.1133333,3.426809627,36.21833333
"2475",10,80,14,11,9,0,167.1033333,4.226897133,39.53333333
"1378",15,9,3,0,0,0,17,2.428571429,7
"3007",523,12,3,0,0,0,12.12,1.590551181,7.62
"2443",4,9,1,0,0,0,20.965,2.610834371,8.03
"2935",33,12,3,2,1,0,22.1,4,5.525
"3248",4,256,53,21,13,7,378.2666667,4.079226428,92.73
"438",3,18,9,3,2,0,41.105,2.240257971,18.34833333
"3565",4,70,11,2,1,0,150.95,4.641283181,32.52333333
"1215",16,8,4,0,0,0,6.410000001,2.047923323,3.13
"1198",32,49.5,10,3,3,1,64.46333332,3.941907868,16.35333333
"3162",2,99,25,3,3,2,110.1866667,3.2947274,33.44333333
"1259",55,36,7,1,1,1,29.85833333,4.262431596,7.005
"1456",3,18,5,4,3,1,15.955,3.38388123,4.715
"1906",383,9,0,0,0,0,2.725,5,0.545
"1084",3,20,2,1,1,0,11.35,5,2.27
"3009",4,119,32,8,6,1,246.4633333,3.492053746,70.57833333
"1883",380,27,8,4,1,0,43.19333334,3.186524038,13.555
"2901",99,16,4,4,4,0,68.17666666,3.830508475,17.79833333
"1473",15,30,6,3,2,1,29.875,4.68627451,6.375
"2664",25,44,7,1,1,0,48.195,4.019599666,11.99
"157",2,213,67,25,22,11,242.6283333,3.018328461,80.385
"1232",10,189,42,23,17,8,192.9483333,4.615804792,41.80166667
"440",140,3,3,2,1,0,2.81,1,2.81
"2338",15,45,7,0,0,0,98.81166669,4.698232824,21.03166667
"2500",25,258,71,19,12,0,307.96,3.139139003,98.10333333
"2927",15,48,10,4,3,2,42.93,4.351748606,9.865
"121",2,12,3,0,0,0,24.8,3.846949328,6.446666667
"2814",1,24,5,0,0,0,16.34166666,4.026694045,4.058333333
"1785",19,25,5,1,0,0,23.625,5,4.725
"3472",15,18,4,1,0,0,15.04333333,4.43974422,3.388333333
"2532",461,10,4,1,1,1,55.66,3.642670157,15.28
"3264",19,18,6,6,5,2,68.89,3.822974473,18.02
"1296",204,15,5,2,2,0,30.53999999,2.656037107,11.49833333
"172",69,20,4,2,1,1,17.725,5,3.545
"2357",35,21,6,5,4,1,17.56333333,2.797451553,6.278333333
"445",15,16,4,1,1,0,14.005,3.759731544,3.725
"1682",22,32,8,3,2,2,107.285,4.257059718,25.20166667
"3033",32,185.5,48,19,17,7,314.6983333,3.654962157,86.10166667
"1649",15,20,4,3,2,2,18.245,4.238095238,4.305
"1065",15,31.5,4,0,0,0,55.85999998,3.835660334,14.56333333
"1558",4,211.5,40,1,1,0,258.1133334,4.652227463,55.48166667
"1759",46,66,18,7,6,4,135.705,3.334002129,40.70333333
"1277",305,28,6,2,1,0,37.17166667,4.120266026,9.021666667
"2866",507,13.5,3,1,1,1,20.1,4.170124481,4.82
"3516",22,13.5,1,1,0,0,6.705,4.624137931,1.45
"59",4,21,6,1,0,0,46.70666666,2.172571517,21.49833333
"1315",4,148,29,11,7,3,408.3616665,3.853619792,105.9683333
"245",2,156,43,17,14,10,140.8983333,2.628700249,53.6
"2468",32,391.5,83,15,9,4,604.6299998,4.227344232,143.0283333
"1757",3,87,24,5,3,0,159.3516667,2.869736171,55.52833333
"1530",2,20,2,0,0,0,32.13333334,4.088210348,7.86
"1478",30,378,73,53,53,23,344.8183333,4.281684603,80.53333333
"2107",4,3,3,2,1,0,2.63,1,2.63
"2539",10,24.5,1,0,0,0,14.76333333,3.124514991,4.725
"589",3,171.5,45,16,8,2,311.5883333,3.476707641,89.62166667
"1553",15,312,94,22,13,10,700.6633334,3.330280825,210.3916667
"1375",4,59.5,15,6,3,1,180.5916666,3.672926341,49.16833333
"410",132,7.5,3,0,0,0,22.11333334,3.176442423,6.961666667
"2579",3,696.5,190,68,50,19,1098.533333,3.614527866,303.9216667
"20",2,270,48,17,12,4,549.39,4.68303286,117.315
"1581",46,52.5,12,9,7,4,65.84666667,3.6449857,18.065
"2261",252,42,10,3,3,3,82.60000001,3.136907399,26.33166667
"1077",19,88,20,0,0,0,71.07166665,4.109772552,17.29333333
"2734",4,8,1,0,0,0,20.365,3.604424779,5.65
"733",31,35,9,4,3,1,51.72499998,3.430418923,15.07833333
"1890",4,9,5,1,1,0,17.49833332,1.702448516,10.27833333
"747",202,12,3,2,2,2,16.33333333,3.769230769,4.333333333
"909",3,20,2,0,0,0,16.96666667,4.516415262,3.756666667
"571",24,123,34,4,2,0,146.955,2.984261829,49.24333333
"171",3,98,21,5,4,3,117.365,2.954188866,39.72833333
"1972",15,15,3,3,3,3,101.6666667,5,20.33333333
"2674",3,22.5,4,0,0,0,22.08166667,2.740227508,8.058333333
"3089",3,16,3,0,0,0,15.30666667,4,3.826666667
"313",111,36,5,2,1,0,85.49833332,4.276342114,19.99333333
"2629",4,12,4,2,2,1,10.71833333,2.807071148,3.818333333
"3356",413,12,4,1,1,0,11.77,2.909765142,4.045
"1614",19,532,133,55,46,20,669.3066667,3.555602777,188.24
"3344",34,3,4,1,0,0,3.265,1,3.265
"2414",25,168,33,9,5,2,183.1583334,3.867227364,47.36166667
"3111",4,48,15,3,3,2,132.7966667,2.972948771,44.66833333
"1360",4,9,2,0,0,0,48.08,4,12.02
"1655",354,60,16,9,8,4,58.94000001,3.773367478,15.62
"3504",3,24.5,6,3,3,1,26.14,3.00229709,8.706666667
"231",3,217,51,13,8,6,193.4566667,3.618379625,53.465
"112",19,252,45,12,8,2,280.6566667,4.590643913,61.13666667
"1880",25,66,21,5,5,2,97.39666667,2.902453561,33.55666667
"759",205,39,12,8,8,4,76.14,3.455411845,22.035
"2507",140,16,3,2,2,0,10.43,3.711743772,2.81
