,lhs,,rhs,support,confidence,lift
297,"&,Hotels"",Planning",=>,Event,0.007207207,1,69.375
298,"&,Event,Hotels""",=>,Planning,0.007207207,1,79.28571429
299,"&,Event,Planning",=>,"Hotels""",0.007207207,1,69.375
300,"Hotels"",Planning,Services",=>,&,0.007207207,1,12.61363636
301,"&,Hotels"",Planning",=>,Services,0.007207207,1,27.75
302,"&,Hotels"",Services",=>,Planning,0.007207207,1,79.28571429
303,"&,Planning,Services",=>,"Hotels""",0.007207207,1,69.375
304,"Event,Hotels"",Services",=>,&,0.007207207,1,12.61363636
305,"&,Event,Hotels""",=>,Services,0.007207207,1,27.75
306,"&,Hotels"",Services",=>,Event,0.007207207,1,69.375
307,"&,Event,Services",=>,"Hotels""",0.007207207,1,69.375
308,"&,Event,Planning",=>,Services,0.007207207,1,27.75
309,"&,Planning,Services",=>,Event,0.007207207,1,69.375
310,"&,Event,Services",=>,Planning,0.007207207,1,79.28571429
380,"Event,Hotels"",Planning,Services",=>,&,0.007207207,1,12.61363636
381,"&,Event,Hotels"",Planning",=>,Services,0.007207207,1,27.75
382,"&,Hotels"",Planning,Services",=>,Event,0.007207207,1,69.375
383,"&,Event,Hotels"",Services",=>,Planning,0.007207207,1,79.28571429
384,"&,Event,Planning,Services",=>,"Hotels""",0.007207207,1,69.375
1,"Wash""",=>,Car,0.005405405,1,69.375
2,"Golf""",=>,Life,0.005405405,1,46.25
3,Dog Walkers,=>,"Pets""",0.005405405,1,79.28571429
5,"Desserts""",=>,Food,0.005405405,1,9.25
6,Heating & Air Conditioning/HVAC,=>,Home Services,0.005405405,1,61.66666667
8,Oil,=>,Auto,0.005405405,1,69.375
9,Oil,=>,Stations,0.005405405,1,79.28571429
10,Oil,=>,Tires,0.005405405,1,61.66666667
11,Oil,=>,Automotive,0.005405405,1,15.41666667
12,Flowers & Gifts,=>,Shopping,0.005405405,1,12.06521739
14,Spas,=>,&,0.005405405,0.75,9.460227273
15,Books,=>,Mags,0.005405405,1,138.75
16,Mags,=>,Books,0.005405405,0.75,138.75
17,Salons,=>,Beauty,0.005405405,1,79.28571429
18,Chicken,=>,Wings,0.005405405,1,138.75
19,Wings,=>,Chicken,0.005405405,0.75,138.75
20,Nurseries & Gardening,=>,Home & Garden,0.005405405,1,92.5
21,Gas,=>,Stations,0.005405405,1,79.28571429
22,Gas,=>,Automotive,0.005405405,1,15.41666667
23,Gas,=>,&,0.005405405,1,12.61363636
24,Veterinarians,=>,Pets,0.005405405,1,69.375
25,Yoga,=>,Fitness & Instruction,0.005405405,1,55.5
26,Yoga,=>,Active Life,0.005405405,1,30.83333333
27,Sports,=>,Restaurants,0.005405405,0.75,5.076219512
28,Arts & Crafts,=>,Shopping,0.005405405,1,12.06521739
29,Apartments,=>,Estate,0.005405405,1,138.75
30,Estate,=>,Apartments,0.005405405,0.75,138.75
31,Apartments,=>,Real,0.005405405,1,111
32,"Local""",=>,Services,0.005405405,0.75,20.8125
33,Fashion,=>,Shopping,0.005405405,1,12.06521739
34,Party & Event Planning,=>,Event Planning & Services,0.005405405,1,20.55555556
35,Car Wash,=>,Automotive,0.005405405,1,15.41666667
36,Repair,=>,Restaurants,0.005405405,1,6.768292683
43,General Dentistry,=>,Dentists,0.005405405,0.75,104.0625
44,Dentists,=>,General Dentistry,0.005405405,0.75,104.0625
45,General Dentistry,=>,Health & Medical,0.005405405,0.75,34.6875
46,Sporting Goods,=>,Shopping,0.005405405,0.75,9.048913043
48,Dentists,=>,Health & Medical,0.005405405,0.75,34.6875
49,Gastropubs,=>,Pubs,0.005405405,0.75,27.75
51,Gastropubs,=>,Bars,0.005405405,0.75,9.25
54,Service,=>,Automotive,0.005405405,0.75,11.5625
58,Dry,=>,Cleaning,0.005405405,0.75,69.375
59,Barbers,=>,Beauty & Spas,0.005405405,0.75,20.8125
60,Middle Eastern,=>,Mediterranean,0.005405405,0.75,52.03125
61,"Planning""",=>,Travel,0.005405405,0.75,52.03125
62,Laundry,=>,Cleaning,0.005405405,0.75,69.375
75,"Auto,Oil",=>,Stations,0.005405405,1,79.28571429
76,"Oil,Stations",=>,Auto,0.005405405,1,69.375
77,"Auto,Stations",=>,Oil,0.005405405,1,185
78,"Auto,Oil",=>,Tires,0.005405405,1,61.66666667
79,"Oil,Tires",=>,Auto,0.005405405,1,69.375
80,"Auto,Tires",=>,Oil,0.005405405,0.75,138.75
81,"Auto,Oil",=>,Automotive,0.005405405,1,15.41666667
82,"Automotive,Oil",=>,Auto,0.005405405,1,69.375
83,"Auto,Automotive",=>,Oil,0.005405405,0.75,138.75
84,"Oil,Stations",=>,Tires,0.005405405,1,61.66666667
85,"Oil,Tires",=>,Stations,0.005405405,1,79.28571429
86,"Stations,Tires",=>,Oil,0.005405405,1,185
87,"Oil,Stations",=>,Automotive,0.005405405,1,15.41666667
88,"Automotive,Oil",=>,Stations,0.005405405,1,79.28571429
89,"Oil,Tires",=>,Automotive,0.005405405,1,15.41666667
90,"Automotive,Oil",=>,Tires,0.005405405,1,61.66666667
91,"Beauty,Spas",=>,&,0.005405405,0.75,9.460227273
92,"&,Spas",=>,Beauty,0.005405405,1,79.28571429
93,"&,Beauty",=>,Spas,0.005405405,0.75,104.0625
94,"Gas,Stations",=>,Automotive,0.005405405,1,15.41666667
95,"Automotive,Gas",=>,Stations,0.005405405,1,79.28571429
96,"Gas,Stations",=>,&,0.005405405,1,12.61363636
97,"&,Gas",=>,Stations,0.005405405,1,79.28571429
98,"&,Stations",=>,Gas,0.005405405,0.75,138.75
99,"Automotive,Gas",=>,&,0.005405405,1,12.61363636
100,"&,Gas",=>,Automotive,0.005405405,1,15.41666667
101,"Fitness & Instruction,Yoga",=>,Active Life,0.005405405,1,30.83333333
102,"Active Life,Yoga",=>,Fitness & Instruction,0.005405405,1,55.5
103,"Apartments,Estate",=>,Real,0.005405405,1,111
104,"Apartments,Real",=>,Estate,0.005405405,1,138.75
105,"Estate,Real",=>,Apartments,0.005405405,0.75,138.75
106,"&"",Health",=>,Medical,0.005405405,1,92.5
107,"&"",Medical",=>,Health,0.005405405,1,92.5
108,"Gastropubs,Pubs",=>,American (New),0.005405405,1,17.90322581
109,"American (New),Gastropubs",=>,Pubs,0.005405405,0.75,27.75
110,"Gastropubs,Pubs",=>,Bars,0.005405405,1,12.33333333
111,"Bars,Gastropubs",=>,Pubs,0.005405405,1,37
112,"Gastropubs,Pubs",=>,Nightlife,0.005405405,1,10.09090909
113,"Gastropubs,Nightlife",=>,Pubs,0.005405405,0.75,27.75
114,"American (New),Gastropubs",=>,Bars,0.005405405,0.75,9.25
115,"Bars,Gastropubs",=>,American (New),0.005405405,1,17.90322581
118,"Bars,Gastropubs",=>,Nightlife,0.005405405,1,10.09090909
119,"Gastropubs,Nightlife",=>,Bars,0.005405405,0.75,9.25
120,"Automotive,Service",=>,&,0.005405405,1,12.61363636
121,"&,Service",=>,Automotive,0.005405405,0.75,11.5625
122,"Dry,Laundry",=>,Cleaning,0.005405405,0.75,69.375
123,"Cleaning,Dry",=>,Laundry,0.005405405,1,138.75
124,"Cleaning,Laundry",=>,Dry,0.005405405,1,138.75
125,"Auto,Stations",=>,Tires,0.005405405,1,61.66666667
126,"Auto,Tires",=>,Stations,0.005405405,0.75,59.46428571
127,"Stations,Tires",=>,Auto,0.005405405,1,69.375
128,"Auto,Stations",=>,Automotive,0.005405405,1,15.41666667
129,"Auto,Automotive",=>,Stations,0.005405405,0.75,59.46428571
130,"Auto,Tires",=>,Automotive,0.005405405,0.75,11.5625
131,"Auto,Automotive",=>,Tires,0.005405405,0.75,46.25
142,"Hotels"",Travel",=>,&,0.005405405,1,12.61363636
143,"&,Travel",=>,"Hotels""",0.005405405,1,69.375
145,"(New),Restaurants""",=>,American,0.005405405,0.75,23.125
152,"Caterers,Restaurants",=>,Event Planning & Services,0.005405405,1,20.55555556
153,"Stations,Tires",=>,Automotive,0.005405405,1,15.41666667
155,"Coffee & Tea,Desserts",=>,Food,0.005405405,1,9.25
156,"American (New),Steakhouses",=>,Nightlife,0.005405405,1,10.09090909
157,"Nightlife,Steakhouses",=>,American (New),0.005405405,1,17.90322581
160,"Restaurants,Sports Bars",=>,Nightlife,0.005405405,1,10.09090909
161,"American,Bars""",=>,Nightlife,0.005405405,1,10.09090909
162,"American,Bars""",=>,Restaurants,0.005405405,1,6.768292683
163,"Bars"",Restaurants",=>,American,0.005405405,0.75,23.125
170,"Fast,Food",=>,Restaurants,0.005405405,0.75,5.076219512
171,"Fast,Restaurants",=>,Food,0.005405405,0.75,6.9375
172,"Active Life"",Fitness & Instruction",=>,Gyms,0.005405405,1,42.69230769
173,"Active Life"",Gyms",=>,Fitness & Instruction,0.005405405,1,55.5
174,"Beauty & Spas,Mediterranean",=>,Bars,0.005405405,1,12.33333333
175,"Bars,Mediterranean",=>,Beauty & Spas,0.005405405,1,27.75
176,"Bars,Beauty & Spas",=>,Mediterranean,0.005405405,1,69.375
177,"Beauty & Spas,Mediterranean",=>,Nightlife,0.005405405,1,10.09090909
178,"Mediterranean,Nightlife",=>,Beauty & Spas,0.005405405,1,27.75
179,"Bars,Mediterranean",=>,Nightlife,0.005405405,1,10.09090909
180,"Mediterranean,Nightlife",=>,Bars,0.005405405,1,12.33333333
181,"Coffee & Tea,Mexican",=>,Food,0.005405405,1,9.25
182,"Coffee & Tea,Japanese",=>,Food,0.005405405,1,9.25
183,"Japanese,Restaurants",=>,Food,0.005405405,1,9.25
186,"Barbeque,Bars",=>,Nightlife,0.005405405,0.75,7.568181818
187,"Barbeque,Nightlife",=>,Bars,0.005405405,0.75,9.25
188,"Coffee & Tea,Thai",=>,Food,0.005405405,1,9.25
189,"Food,Thai",=>,Coffee & Tea,0.005405405,0.75,15.41666667
192,"&,(Traditional)",=>,American,0.005405405,1,30.83333333
193,"&,American",=>,(Traditional),0.005405405,0.75,34.6875
195,"Bars,Restaurants""",=>,(Traditional),0.005405405,0.75,34.6875
198,"Beer,Restaurants""",=>,Wine & Spirits,0.005405405,1,55.5
199,"Restaurants"",Wine & Spirits",=>,Beer,0.005405405,1,46.25
200,"Beer,Shopping",=>,Wine & Spirits,0.005405405,1,55.5
201,"Shopping,Wine & Spirits",=>,Beer,0.005405405,1,46.25
203,"Coffee & Tea,Fitness & Instruction",=>,Active Life,0.005405405,1,30.83333333
204,"Cafes,Italian",=>,Restaurants,0.005405405,0.75,5.076219512
205,"Bars,Cafes",=>,American (New),0.005405405,0.75,13.42741935
206,"Cafes,Nightlife",=>,American (New),0.005405405,1,17.90322581
207,"Bars,Cafes",=>,Nightlife,0.005405405,0.75,7.568181818
208,"Cafes,Nightlife",=>,Bars,0.005405405,1,12.33333333
209,"Bakeries,Chinese",=>,Food,0.005405405,1,9.25
210,"Bakeries,Italian",=>,Food,0.005405405,0.75,6.9375
211,"Grocery,Pizza",=>,Food,0.005405405,1,9.25
212,"Grocery,Restaurants",=>,Food,0.005405405,0.75,6.9375
213,"Coffee & Tea,Gyms",=>,Active Life,0.005405405,1,30.83333333
216,"Chinese,Coffee & Tea",=>,Food,0.005405405,1,9.25
217,"American,Bars",=>,"Restaurants""",0.005405405,0.75,7.302631579
218,"Bars,Restaurants""",=>,American,0.005405405,0.75,23.125
219,"American,Bars",=>,Nightlife,0.005405405,0.75,7.568181818
220,"Breakfast & Brunch,Pubs",=>,Bars,0.005405405,0.75,9.25
222,"American (Traditional),Pubs",=>,Nightlife,0.005405405,1,10.09090909
223,"Pubs,Restaurants""",=>,Nightlife,0.005405405,1,10.09090909
227,"Food,Pubs",=>,Nightlife,0.005405405,1,10.09090909
230,"Bars,Diners",=>,Nightlife,0.005405405,1,10.09090909
231,"Diners,Nightlife",=>,Bars,0.005405405,0.75,9.25
232,"Active Life,Food",=>,Coffee & Tea,0.005405405,1,20.55555556
233,"Active Life,Bars",=>,Restaurants,0.005405405,1,6.768292683
234,"American (New),Breakfast & Brunch",=>,Nightlife,0.005405405,0.75,7.568181818
236,"Bars,Beauty & Spas",=>,Nightlife,0.005405405,1,10.09090909
238,"American (New),Italian",=>,Sandwiches,0.005405405,0.75,11.25
239,"American (New),Italian",=>,Pizza,0.005405405,0.75,8.856382979
240,"American (New),Pizza",=>,Italian,0.005405405,0.75,13.42741935
241,"American (New),Coffee & Tea",=>,Bars,0.005405405,0.75,9.25
242,"Bars,Coffee & Tea",=>,American (New),0.005405405,0.75,13.42741935
243,"American (New),Coffee & Tea",=>,Nightlife,0.005405405,0.75,7.568181818
246,"Bars,Coffee & Tea",=>,Food,0.005405405,0.75,6.9375
247,"Bars,Restaurants""",=>,Nightlife,0.005405405,0.75,7.568181818
248,"American (New),Pizza",=>,Sandwiches,0.005405405,0.75,11.25
250,"Automotive,Sandwiches",=>,Restaurants,0.005405405,0.75,5.076219512
251,"Bars,Sandwiches",=>,Nightlife,0.005405405,0.75,7.568181818
252,"&,Food",=>,Automotive,0.005405405,0.75,11.5625
253,"Automotive,Nightlife",=>,Restaurants,0.005405405,1,6.768292683
255,"Bars,Shopping",=>,Nightlife,0.005405405,0.75,7.568181818
257,"Auto,Oil,Stations",=>,Tires,0.005405405,1,61.66666667
258,"Auto,Oil,Tires",=>,Stations,0.005405405,1,79.28571429
259,"Oil,Stations,Tires",=>,Auto,0.005405405,1,69.375
260,"Auto,Stations,Tires",=>,Oil,0.005405405,1,185
261,"Auto,Oil,Stations",=>,Automotive,0.005405405,1,15.41666667
262,"Auto,Automotive,Oil",=>,Stations,0.005405405,1,79.28571429
263,"Automotive,Oil,Stations",=>,Auto,0.005405405,1,69.375
264,"Auto,Automotive,Stations",=>,Oil,0.005405405,1,185
265,"Auto,Oil,Tires",=>,Automotive,0.005405405,1,15.41666667
266,"Auto,Automotive,Oil",=>,Tires,0.005405405,1,61.66666667
267,"Automotive,Oil,Tires",=>,Auto,0.005405405,1,69.375
268,"Auto,Automotive,Tires",=>,Oil,0.005405405,1,185
269,"Oil,Stations,Tires",=>,Automotive,0.005405405,1,15.41666667
270,"Automotive,Oil,Stations",=>,Tires,0.005405405,1,61.66666667
271,"Automotive,Oil,Tires",=>,Stations,0.005405405,1,79.28571429
272,"Automotive,Stations,Tires",=>,Oil,0.005405405,1,185
273,"Automotive,Gas,Stations",=>,&,0.005405405,1,12.61363636
274,"&,Gas,Stations",=>,Automotive,0.005405405,1,15.41666667
275,"&,Automotive,Gas",=>,Stations,0.005405405,1,79.28571429
276,"&,Automotive,Stations",=>,Gas,0.005405405,0.75,138.75
277,"American (New),Gastropubs,Pubs",=>,Bars,0.005405405,1,12.33333333
278,"Bars,Gastropubs,Pubs",=>,American (New),0.005405405,1,17.90322581
279,"American (New),Bars,Gastropubs",=>,Pubs,0.005405405,1,37
280,"American (New),Gastropubs,Pubs",=>,Nightlife,0.005405405,1,10.09090909
281,"Gastropubs,Nightlife,Pubs",=>,American (New),0.005405405,1,17.90322581
282,"American (New),Gastropubs,Nightlife",=>,Pubs,0.005405405,0.75,27.75
283,"Bars,Gastropubs,Pubs",=>,Nightlife,0.005405405,1,10.09090909
284,"Gastropubs,Nightlife,Pubs",=>,Bars,0.005405405,1,12.33333333
285,"Bars,Gastropubs,Nightlife",=>,Pubs,0.005405405,1,37
286,"American (New),Bars,Gastropubs",=>,Nightlife,0.005405405,1,10.09090909
287,"American (New),Gastropubs,Nightlife",=>,Bars,0.005405405,0.75,9.25
288,"Bars,Gastropubs,Nightlife",=>,American (New),0.005405405,1,17.90322581
289,"Auto,Stations,Tires",=>,Automotive,0.005405405,1,15.41666667
290,"Auto,Automotive,Stations",=>,Tires,0.005405405,1,61.66666667
291,"Auto,Automotive,Tires",=>,Stations,0.005405405,1,79.28571429
292,"Automotive,Stations,Tires",=>,Auto,0.005405405,1,69.375
311,"American,Bars"",Nightlife",=>,Restaurants,0.005405405,1,6.768292683
312,"American,Bars"",Restaurants",=>,Nightlife,0.005405405,1,10.09090909
313,"Bars"",Nightlife,Restaurants",=>,American,0.005405405,0.75,23.125
314,"Burgers,Fast,Food",=>,Restaurants,0.005405405,0.75,5.076219512
315,"Burgers,Fast,Restaurants",=>,Food,0.005405405,0.75,6.9375
316,"Fast,Food,Restaurants",=>,Burgers,0.005405405,1,32.64705882
317,"Burgers,Food,Restaurants",=>,Fast,0.005405405,1,55.5
318,"Bars,Beauty & Spas,Mediterranean",=>,Nightlife,0.005405405,1,10.09090909
319,"Beauty & Spas,Mediterranean,Nightlife",=>,Bars,0.005405405,1,12.33333333
320,"Bars,Mediterranean,Nightlife",=>,Beauty & Spas,0.005405405,1,27.75
321,"Bars,Beauty & Spas,Nightlife",=>,Mediterranean,0.005405405,1,69.375
322,"(Traditional),American,Restaurants""",=>,Bars,0.005405405,0.75,9.25
323,"(Traditional),American,Bars",=>,"Restaurants""",0.005405405,0.75,7.302631579
324,"(Traditional),Bars,Restaurants""",=>,American,0.005405405,1,30.83333333
325,"American,Bars,Restaurants""",=>,(Traditional),0.005405405,1,46.25
326,"(Traditional),American,Restaurants""",=>,Nightlife,0.005405405,0.75,7.568181818
327,"(Traditional),Nightlife,Restaurants""",=>,American,0.005405405,1,30.83333333
328,"(Traditional),American,Bars",=>,Nightlife,0.005405405,0.75,7.568181818
329,"(Traditional),Bars,Nightlife",=>,American,0.005405405,0.75,23.125
330,"American,Bars,Nightlife",=>,(Traditional),0.005405405,1,46.25
331,"(Traditional),American,Restaurants",=>,Nightlife,0.005405405,1,10.09090909
332,"(Traditional),Nightlife,Restaurants",=>,American,0.005405405,0.75,23.125
333,"(Traditional),Bars,Restaurants""",=>,Nightlife,0.005405405,1,10.09090909
334,"(Traditional),Nightlife,Restaurants""",=>,Bars,0.005405405,1,12.33333333
335,"(Traditional),Bars,Nightlife",=>,"Restaurants""",0.005405405,0.75,7.302631579
336,"Bars,Nightlife,Restaurants""",=>,(Traditional),0.005405405,1,46.25
337,"American (New),Bars,Cafes",=>,Nightlife,0.005405405,1,10.09090909
338,"American (New),Cafes,Nightlife",=>,Bars,0.005405405,1,12.33333333
339,"Bars,Cafes,Nightlife",=>,American (New),0.005405405,1,17.90322581
340,"American,Bars,Restaurants""",=>,Nightlife,0.005405405,1,10.09090909
341,"American,Bars,Nightlife",=>,"Restaurants""",0.005405405,1,9.736842105
342,"Bars,Nightlife,Restaurants""",=>,American,0.005405405,1,30.83333333
343,"Bars,Breakfast & Brunch,Pubs",=>,Nightlife,0.005405405,1,10.09090909
344,"Breakfast & Brunch,Nightlife,Pubs",=>,Bars,0.005405405,0.75,9.25
348,"Bars,Breakfast & Brunch,Food",=>,Nightlife,0.005405405,1,10.09090909
349,"Breakfast & Brunch,Food,Nightlife",=>,Bars,0.005405405,0.75,9.25
350,"American (New),American (Traditional),Bars",=>,Nightlife,0.005405405,1,10.09090909
351,"American (New),American (Traditional),Nightlife",=>,Bars,0.005405405,1,12.33333333
352,"American (New),Italian,Sandwiches",=>,Pizza,0.005405405,1,11.80851064
353,"American (New),Italian,Pizza",=>,Sandwiches,0.005405405,1,15
354,"American (New),Pizza,Sandwiches",=>,Italian,0.005405405,1,17.90322581
355,"American (New),Bars,Coffee & Tea",=>,Nightlife,0.005405405,1,10.09090909
356,"American (New),Coffee & Tea,Nightlife",=>,Bars,0.005405405,1,12.33333333
357,"Bars,Coffee & Tea,Nightlife",=>,American (New),0.005405405,0.75,13.42741935
358,"American (New),Bars,Coffee & Tea",=>,Food,0.005405405,1,9.25
359,"American (New),Coffee & Tea,Food",=>,Bars,0.005405405,0.75,9.25
360,"Bars,Coffee & Tea,Food",=>,American (New),0.005405405,1,17.90322581
361,"American (New),Bars,Food",=>,Coffee & Tea,0.005405405,1,20.55555556
362,"American (New),Coffee & Tea,Nightlife",=>,Food,0.005405405,1,9.25
363,"American (New),Coffee & Tea,Food",=>,Nightlife,0.005405405,0.75,7.568181818
364,"Coffee & Tea,Food,Nightlife",=>,American (New),0.005405405,0.75,13.42741935
365,"American (New),Food,Nightlife",=>,Coffee & Tea,0.005405405,0.75,15.41666667
366,"Bars,Coffee & Tea,Nightlife",=>,Food,0.005405405,0.75,6.9375
367,"Bars,Coffee & Tea,Food",=>,Nightlife,0.005405405,1,10.09090909
368,"Coffee & Tea,Food,Nightlife",=>,Bars,0.005405405,0.75,9.25
369,"American (New),Bars,Food",=>,Nightlife,0.005405405,1,10.09090909
370,"American (New),Food,Nightlife",=>,Bars,0.005405405,0.75,9.25
371,"Auto,Oil,Stations,Tires",=>,Automotive,0.005405405,1,15.41666667
372,"Auto,Automotive,Oil,Stations",=>,Tires,0.005405405,1,61.66666667
373,"Auto,Automotive,Oil,Tires",=>,Stations,0.005405405,1,79.28571429
374,"Automotive,Oil,Stations,Tires",=>,Auto,0.005405405,1,69.375
375,"Auto,Automotive,Stations,Tires",=>,Oil,0.005405405,1,185
376,"American (New),Bars,Gastropubs,Pubs",=>,Nightlife,0.005405405,1,10.09090909
377,"American (New),Gastropubs,Nightlife,Pubs",=>,Bars,0.005405405,1,12.33333333
378,"Bars,Gastropubs,Nightlife,Pubs",=>,American (New),0.005405405,1,17.90322581
379,"American (New),Bars,Gastropubs,Nightlife",=>,Pubs,0.005405405,1,37
385,"(Traditional),American,Bars,Restaurants""",=>,Nightlife,0.005405405,1,10.09090909
386,"(Traditional),American,Nightlife,Restaurants""",=>,Bars,0.005405405,1,12.33333333
387,"(Traditional),American,Bars,Nightlife",=>,"Restaurants""",0.005405405,1,9.736842105
388,"(Traditional),Bars,Nightlife,Restaurants""",=>,American,0.005405405,1,30.83333333
389,"American,Bars,Nightlife,Restaurants""",=>,(Traditional),0.005405405,1,46.25
390,"American (New),Bars,Coffee & Tea,Nightlife",=>,Food,0.005405405,1,9.25
391,"American (New),Bars,Coffee & Tea,Food",=>,Nightlife,0.005405405,1,10.09090909
392,"American (New),Coffee & Tea,Food,Nightlife",=>,Bars,0.005405405,1,12.33333333
393,"Bars,Coffee & Tea,Food,Nightlife",=>,American (New),0.005405405,1,17.90322581
394,"American (New),Bars,Food,Nightlife",=>,Coffee & Tea,0.005405405,1,20.55555556
