,user_id,business_id,lat_long
68,6QhWTugzBJ3cdv2N4WZcSA,"{'Ca-003BAqWW-IEsFvjlY9g': 1, 'm4LaTWm5vP01mGpFcqoPZw': 2, 'h6G6P_z1RbzC-mcRcZRg7A': 1, 'Tfysaq2SdZAc5_TyPpuyLA': 1, 'l-0XOL_cKu8G2jwJ8a-nIg': 1, 'zxXATbR9pH_Ml6nK3kq2bw': 1, 'PmGgA12IFDwedPDAjesx3Q': 3, 'x8GTTMIAtUJ5EsIMnsOacQ': 2, 'X7844DdJO4y2oVbcpxD-NA': 1, 'bwu0cUZfksuu-uzTPrrl2A': 1, 'McHO_tvPofRkZVFpaZaWRA': 1, 'gwcfAXAUTj1Bq6YwnPKWlg': 1, 'JrdoWznKY-OFmwCkv75P_A': 1, 'hcctvfq3fmVIscSeBURsjQ': 1, 'v7e-GIGgEIFANhHsywlhrw': 1, '2X5G4Ujq0s4Wfn4TC7gX0g': 1, 'rellBaGc6G4mgcqSACGL5w': 1, 'qIS1_yeG1DikxOFBHVyT-w': 2, 'Jh-8r-RwvkRs80HP_q6DYA': 1, 'QD_VIwtGdBazBZXBqkYSSg': 1, 'xl1mNGpaoLdiVWj_D6-L_A': 1, 'VkFDer80GOrelWALdgNReg': 1, 'G9It4s0uCD11WXEbqBpWmA': 1, 'cHnGuTawWJJZ_2t1FM18Iw': 1, 'gu9qDUz44-8H1vdq_MQymQ': 1, 'DkX3YoxhH4uADsgVgQThew': 1, 'XQ7elqSFIRogvqpiTZz-Wg': 1, '_k_sQxAZSrFpN3U9BWv9HQ': 1, 'vvPzcOhbQn5fLQUAIxcP6A': 2, 'jmquanz2qdn_IEgxmn0wsQ': 1, '6mRBnYezWvuf5cfkmcLAiA': 1, 'G7Ork6dlTZ6xcmPF3gxG4w': 1, 'XAtra6d8bcQDXqDKZKiG9Q': 1, 'P9zs1E1Z4JqIR-zPmD1URw': 1, 'PhzATk8aYydq9E0Aj4-fwA': 1, 'EKHY6QnNVcSV8URkDzukHA': 2, 'Eq-w1GBZLdEbrtNDwVncYA': 1, '2EEmhVhG5SCt8dEo5zf-Hg': 2, 'yMAJeQulLvOov-5gg2nM9A': 3, 'FjecimSm22DYW8ML3MoUrw': 1, 'WjUbSGtEShwpXZQFiEtD-w': 1, 'QnnssZJOLZquRp0hqeK1dA': 1, 'OS1fGOcx_Erie5gujWIFNQ': 1, 'eznh0XjVtv924K-KYx_ilQ': 1, 'AlvGCHZX0n5puR9eZSZ4lg': 1, 'YiUoOtJc6xCq0-ZFJCocvA': 1, 'vgXE1I7c9ElcfYyZfQiN1Q': 1, '2UUkXa45Vgk_TfCP6kmfSw': 2, 'm0R4GViXeLOWuOlzoCv3OQ': 1, 'ar6UvDX5NQrKpd_4u9pdcg': 1, 'nBl_NeArpL08MpoghDiA_A': 1, '5MChfa-jZfMo3vBpolkSbw': 1, 'Jo2Oodau9nuha0hLdc_zAA': 2, 'tQpYnf3P3Q_OQLYYJvlV-A': 1, 'BL3JjW4GiljNbGn90Bk_Fg': 1, 'FlICTKTPNq-KVIZ6eM9zrg': 1, 'SsGNAc9U-aKPZccnaDtFkA': 1, 'h27XSUr66bI87J01FsYDpw': 1, 'vGqquKUhtzw3hosrYfxf4A': 2, 'Io-itsowKNTl02OtA9jnZg': 1, '6ilJq_05xRgek_8qUp36-g': 1, 'Z101WZaISochG6g7tI2ZVw': 1, 'qXDOMgynPeqe8yFcxLZH-Q': 1, 'm_9QMfvVYFKsxPjlkCvZqA': 1, 'R924yJNNRIbkQ2ju1M5NWg': 2, 'NjWAVjMxUwOqnpOOQL71QA': 2, 'ExoI56LT0AaKtDIEyP9uJQ': 1, 'VZUbvO-m-ceuoMPRM3-NrQ': 1, '#NAME?': 4, 'pZksQ5zencbsXZTqP7OTkg': 1, 'emQkvcck-uqUanJafLIKOA': 1, 'htwLFap6Oe-k-Gj2xTnjiA': 2, 'Y5IphJz40qozno6INJsPzg': 1, 'ihUWFwY0r3ApW5aZ4Aqf9Q': 1, 'Dra-diHsNo-c-LzOpIwY8g': 1, 'coo6eAhevrKNC1azLAfGaw': 2, 'RiI-mJXjbP2RZUMQgh_yvw': 1, 'jgc_K9MEC-a_oXdy1frvKg': 1, 'D9sHwmqlNkrVxmX-057i1g': 2, '3_3yJMo2dTPeq8woOW69IA': 1, 'SzYlhYIN2i2RDYs2YCrygg': 1, 'tv8cS4aaA1VDaInYgggb6g': 2, 'kg4AP5am_IUczgp1neOvMw': 1, 'HE_rlRkdfWU4lIqHyEj2WA': 1, '3zgswf_NfBJpeAoWeTkgMA': 2, 'H75yc2Vp7d8wuAe339DpOA': 1, 'El6fv45PRpTnI4OnAqQHdA': 1, 'rkZ4SwfRFliatpoMsb1-Xg': 2, '7JYif-4RQOMWrUkoemuytA': 1, 'kj3qws3WSMgOotUeACSdFA': 1, '_KvGddVMM3d2f7NEa_eOtA': 2, '7_ehud9OJdNm8jj13Isdxg': 1, 'ewN984Rvux04uuQFrGu7mw': 2, 'RjavzMXChoFWdsIZnfs5YQ': 1, 'YiGCPuFsQ7RsW9tOeNZ5Qw': 2, 'MDcUrIxoRp6rlPAmyzpWQg': 1, 'ezi5Nz0gT5lk0nW1KTiYnw': 1, '7KIFBT5oAMiE_jK9EM6JXw': 1, 'hxX5NboYQbB6GLdDD0hw9w': 1, 'k8Vih-WEeO5Jmilhbm2xmg': 1}",
69,o2NzpJaRk9ZWiCQTwjPtow,"{'30T84H-0b9-Ft0KqbpKmKQ': 1, 'x2ZMAyneUiBD6Sml0Fv2Xw': 1, 'VZUbvO-m-ceuoMPRM3-NrQ': 1, 'AD0FE_5dM7pWy5YdbMZaGQ': 1, 'zfw44ZwJCvaoLSzWp_Q9MQ': 1}",
70,IrEPZ_OUPBgX-IMU1R3LaQ,"{'ejFoNCTG4B374bc1sVcidQ': 1, 'm0R4GViXeLOWuOlzoCv3OQ': 1, 'gFT2yXDXJ1qfuGOSfSU5Bw': 1, 'XY3aIm-0PZMXXkVKECD7uw': 1}",
71,QYX-8VnooBkeUt_KBRlVRw,"{'lQskL6S-pi7Bs56yrsuOvA': 1, 'mKEUpLDkL_SZvjI5Hc9gpw': 2, 'sa3xqElJEv97MazozLeszw': 1, 'iudRNo5Q8W7firUBYJEqQQ': 1, 'mPlWLIA4pkHMRtlQDm6UyQ': 1, '1jl3G4VZjkEVboD7cUZ0gQ': 1, '8rztpAGPJA9fgFwP25RP7A': 1, 'e1fPOv3qzsaFdanxwmcOIQ': 1, 'ANvgEb8dmN6KxlmLdF_Kog': 1}",
72,5lR5wYK0y0iP8jOO1aFuHQ,"{'a9-qixaIQftb4HNZz4ocIw': 1, 'YULg9VKAVrQIxw3qBG8PoQ': 1}",
73,UnCnABcvs-p4eAu7tBKQEw,{'NtV0tKJB-NzkJ3l4aYzSVg': 1},
74,x1V5xqP9ouolmpwEV2R1GA,{'Dq6g0ubf267tWRU4BSk44A': 1},
75,_OdoGbid8z_brjKYl-3j-Q,"{'VkFDer80GOrelWALdgNReg': 1, 'l3ZH41X7rNxP2K75stSWvw': 1}",
76,sVHHDaMn2wgPIIWDCzC8bQ,{'WTSOPGECPOmq-PUxNiHptQ': 1},
77,e1Z6jvrrqystzQt2Tur1mw,"{'rellBaGc6G4mgcqSACGL5w': 1, 'XY3aIm-0PZMXXkVKECD7uw': 1}",
78,rdplRmSEOkswWQYi_ACYDg,{'8oI39XswCyOAqQaqnwZlnQ': 1},
79,sHyJy_8ZQDy0jcArHM26AQ,{'p5pTMafxudwizbol8iNNmw': 1},
80,oR3ZUNr6khdAXdOJRp9S4g,{'2az1lqshQswSRphVBAt41Q': 1},
81,Kdbi-JGadvMkJAkaysPfmg,{'rgmptwPbBH1wLpiBHcbIhA': 1},
