,business_id,clusters,after_Jan2010_count,after_Jan2014_count,after_Jun2014_count,after_Jan2015_count,ratings_avg,users_sum,categories,city,state,name,review_count,stars,latitude,longitude,attributes[Alcohol],attributes[Ambience][casual],attributes[Ambience][classy],attributes[Ambience][divey],attributes[Ambience][hipster],attributes[Ambience][intimate],attributes[Ambience][romantic],attributes[Ambience][touristy],attributes[Ambience][trendy],attributes[Ambience][upscale],attributes[Delivery],neighborhoods,open,regression_value,weighted_regression_value
14,o3i4gCHufzn2aMIQuxGlUw,12,2,2,1,0,2.594594595,11.16166667,"[Shopping, Arts & Crafts, Gift Shops, Event Planning & Services, Cards & Stationery, Flowers & Gifts]",Pittsburgh,PA,Hall Of Cards,3,3,40.368716,-80.034629,,,,,,,,,,,,[],TRUE,9,28.96000001
15,xQYa2C1-tKGx65GpDDNePQ,2,13,8,6,2,3.404824926,22.03833333,"[Food, Coffee & Tea]",Pittsburgh,PA,Starbucks,18,3.5,40.4408753,-79.957545,,,,,,,,,,,,[Oakland],TRUE,63,75.03666665
16,B2ORp5G1QxI0e0n1UiG0UQ,13,5,0,0,0,3.138250556,8.993333333,"[Bars, Nightlife]",Pittsburgh,PA,Bar Room,5,3,40.432298,-80.0030208,,,,,,,,,,,,[South Side],FALSE,15,28.22333333
17,Cko88SO9YEsg8jZEXke81w,3,11,0,0,0,2.504229986,21.27666667,"[Indian, Restaurants]",Pittsburgh,PA,Tandoor Indian Grill,25,3,40.4517965,-79.9527148,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,[Oakland],FALSE,75,53.28166668
18,Dnw4OKO_qag-X1DOD4Dv7w,14,3,2,2,1,3.311531842,2.905,"[Local Services, Furniture Reupholstery, Shopping, Home & Garden, Carpet Cleaning]",Pittsburgh,PA,North Side Carpet Cleaning Company,3,3.5,40.4571957,-79.9945941,,,,,,,,,,,,[North Side],TRUE,10.5,9.620000001
19,EnlnNZx1DlO_pTwf1NU4wg,2,48,17,12,4,4.68303286,117.315,"[Museums, Arts & Entertainment]",Pittsburgh,PA,Carnegie Museum of Natural History,60,4.5,40.4435096,-79.9495912,,,,,,,,,,,,[Oakland],TRUE,270,549.39
20,HErV4BkgIDW0KKr8Jxrpyw,4,8,0,0,0,3.64664527,10.905,"[Mexican, Restaurants]",Pittsburgh,PA,Vicky's Mexican Restaurant,8,4,40.43758392,-80.0004425,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Downtown],FALSE,32,39.76666667
21,KEzIorUdFjqCuxbRxKPghA,4,7,4,2,1,3.730058832,12.18166667,"[Pizza, Restaurants]",Pittsburgh,PA,Mamma Lucia Pizza,8,4,40.4403955,-80.0010018,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[Downtown],TRUE,32,45.43833335
22,NFO5GY2UYZ-OKXroJLDkKA,15,11,6,4,1,2.141061053,17.49833333,"[Banks & Credit Unions, Financial Services]",Pittsburgh,PA,Riverset Credit Union,8,2,40.42918,-79.988274,,,,,,,,,,,,[South Side],TRUE,16,37.46499999
23,NfHxV49mtVRq8enjdq1CeQ,16,12,2,2,1,4.077453657,11.59833333,"[Shopping, Jewelry, Antiques]",Pittsburgh,PA,Marlene Harris Collection,16,4,40.492457,-79.863376,,,,,,,,,,,,[],TRUE,64,47.29166665
24,UkylGV_aI3RCZJa9pHL0ag,17,3,1,1,1,5,3.646666667,"[Health & Medical, Dentists, General Dentistry]",Pittsburgh,PA,"Smiga Steven I, DMD",4,5,40.353459,-79.979003,,,,,,,,,,,,[],TRUE,20,18.23333334
25,V1MrrhkHkKFQc2dhl8hi6w,18,7,2,2,0,4.304503786,37.635,"[Active Life, Parks]",Pittsburgh,PA,Grandview Park,9,4.5,40.42738155,-79.99733448,,,,,,,,,,,,[Allentown],TRUE,40.5,162
26,XtQgLRofbvrivJyinGZtkQ,3,24,6,4,2,3.787763924,50.125,"[Fast Food, Mexican, Restaurants]",Pittsburgh,PA,Chipotle Mexican Grill,33,3.5,40.4541927,-79.9473993,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Bloomfield],TRUE,115.5,189.8616667
27,Xti2_Z_gRSxsehYmY2JNbA,19,3,2,2,0,3.765147957,3.548333333,"[Local Services, Dry Cleaning & Laundry, Carpet Cleaning]",Pittsburgh,PA,Lord Duncan Cleaners,4,3.5,40.4293745,-79.9220431,,,,,,,,,,,,[Squirrel Hill],TRUE,14,13.36
28,_7lfqYwzjAqWV6fUCWXP_Q,7,5,0,0,0,4.623469388,6.533333333,"[Food, Coffee & Tea]",Pittsburgh,PA,Caribou Coffee,5,4.5,40.48795664,-79.88540124,,,,,,,,,,,,[],FALSE,22.5,30.20666667
29,k_YKbdDeNIETkjKi-cAN-A,20,3,2,2,0,2.732788798,2.856666667,"[Arts & Crafts, Shopping]",Pittsburgh,PA,Heckman Lee Custom Framing & Gallery,3,3,40.388507,-80.049572,,,,,,,,,,,,[],TRUE,9,7.806666667
30,o3ljI0O6uFgsvTT4QM_LLw,21,6,2,2,2,2.666666667,6,"[Pizza, Sandwiches, Restaurants]",Munhall,PA,Original Ray's Pizza,5,3,40.388227,-79.912987,,,,,,,,,,,,[Homestead],TRUE,15,16
31,ovIUSeYR4kncxyv86D6QPA,4,22,9,9,2,3.691342367,24.96833333,"[Sandwiches, Restaurants]",Pittsburgh,PA,Sammy's Famous Corned Beef,24,4,40.4430495,-79.9979345,full_bar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Downtown],TRUE,96,92.16666665
32,pMBxvWFY03Z95jNVUVWGwg,15,120,31,26,12,3.400835362,180.76,"[Breakfast & Brunch, Bars, American (New), Nightlife, Restaurants]",Pittsburgh,PA,Local Bar + Kitchen,121,3.5,40.4290019,-79.9828,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[South Side],TRUE,423.5,614.735
33,qUJbCo-xJ9A4nE6nXMOwIg,15,0,0,0,0,4.988573521,45.50833333,"[Active Life, Restaurants]",Pittsburgh,PA,Shootz Cafe & Billiards,5,4,40.4283162,-79.9727834,full_bar,,,,,,,,,,FALSE,[South Side],FALSE,20,227.0216666
34,ugAF3Hc9NPGl3SVx5ddG5g,22,20,5,5,5,4.779527559,42.33333333,"[Food, Coffee & Tea]",Pittsburgh,PA,Arnold's Tea,21,4.5,40.4536756,-80.0004646,,,,,,,,,,,FALSE,[North Side],TRUE,94.5,202.3333333
35,wluhsOjt03CgORropJKQoA,4,5,1,1,0,2.794752624,11.11666667,"[Fast Food, Sandwiches, Restaurants]",Pittsburgh,PA,Subway,6,2.5,40.439597,-80.00141,,,,,,,,,,,FALSE,[Downtown],TRUE,15,31.06833335
36,zeMmyM8fGFM-0GL2ZOl5Og,23,3,0,0,0,2.369077307,2.673333333,"[Beauty & Spas, Nail Salons]",Pittsburgh,PA,City Nails,3,2.5,40.434151,-79.862572,,,,,,,,,,,,[],TRUE,7.5,6.333333333
37,znLLBvvY8Kv-8ZDESiPZzQ,15,9,4,4,4,4.92005008,9.318333333,"[Pet Groomers, Pet Services, Pets]",Pittsburgh,PA,Diamond In the Ruff,10,5,40.4259393,-79.9806048,,,,,,,,,,,,[South Side],TRUE,50,45.84666666
38,30T84H-0b9-Ft0KqbpKmKQ,19,57,33,30,16,3.701793183,69.33666667,"[Middle Eastern, Restaurants]",Pittsburgh,PA,Naya Cuisine,64,4,40.43419037,-79.9230114,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Squirrel Hill],TRUE,256,256.67
39,7vXcsbM_q5_QeGbqKaK6bg,24,5,1,1,1,5,4.64,"[Shopping, Eyewear & Opticians]",Pittsburgh,PA,20/20 Opticians,6,5,40.4229632,-79.9285232,,,,,,,,,,,,[Greenfield],TRUE,30,23.2
40,GYyf9Fprhvsu4aA34YSCsQ,25,50,13,1,0,3.670644803,67.59166667,"[Restaurants, Italian]",Pittsburgh,PA,Up Modern Kitchen,54,3.5,40.450952,-79.933592,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[Shadyside],FALSE,189,248.105
41,I_LlnAQe7jGwO9rfjaDdLg,26,18,4,3,2,4.332613391,64.82,"[Sandwiches, Restaurants]",Pittsburgh,PA,Peppi's,17,3.5,40.4470389,-79.893966,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Point Breeze],TRUE,59.5,280.84
42,NS5m7kg9phWfjP27qmxgYA,15,47,21,14,10,2.373111522,67.625,"[Steakhouses, Restaurants]",Pittsburgh,PA,Pittsburgh Steak Company,61,2.5,40.4285411,-79.9779834,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[South Side],TRUE,152.5,160.4816667
43,OmAWp8kUqXrW0umGdZgNUg,3,12,2,2,2,4.58485151,13.35666667,"[Music & DVDs, Books, Mags, Music & Video, Vinyl Records, Shopping, Newspapers & Magazines]",Pittsburgh,PA,Sound Cat Records,16,5,40.462501,-79.9511556,,,,,,,,,,,,[Bloomfield],TRUE,80,61.23833335
44,PfAjfYv2AA50NxwhLrJG8A,27,3,1,1,0,3.524564184,4.206666667,"[Active Life, Bowling]",Pittsburgh,PA,Princess Bowling Lanes,5,3.5,40.3593906,-80.0006895,,,,,,,,,,,,[],TRUE,17.5,14.82666667
45,QqsxU3md6sb7Etb5ovrnrQ,28,9,6,1,1,4.624427481,8.733333333,"[Veterinarians, Pets]",Verona,PA,Pittsburgh Spay and Vaccination Clinic,9,4.5,40.48291935,-79.85199094,,,,,,,,,,,,[],TRUE,40.5,40.38666667
46,Y9krCILoQVmT6v8X6gLltg,15,14,1,1,0,3.988366125,29.225,"[Dive Bars, Bars, Nightlife]",Pittsburgh,PA,Brewski's,16,4.5,40.428858,-79.990906,full_bar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,[South Side],TRUE,72,116.56
47,dWEXG9aimhOXkbP4yw4UMg,4,48,29,27,14,4.171786511,58.27,"[Turkish, Mediterranean, Restaurants]",Pittsburgh,PA,Alihan's Mediterranean Cuisine,51,4,40.44390116,-80.00268763,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[Downtown],TRUE,204,243.09
48,drJpzE3cxE0MQUq7gkzRvg,2,49,16,11,6,3.440096113,74.91166667,"[Sandwiches, Restaurants]",Pittsburgh,PA,Uncle Sam's Submarines,58,4,40.44122235,-79.95674103,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Oakland],TRUE,232,257.7033333
49,ljKPmpxxTJSEArW2T-ikFA,29,7,2,2,0,3.973342939,6.94,"[Pet Services, Pet Groomers, Pet Boarding/Pet Sitting, Pets]",Pittsburgh,PA,Animal Elegance,8,4,40.4881312,-79.920688,,,,,,,,,,,,[Morningside],TRUE,32,27.575
50,m0FLMyymdBRHin2xaTqkLw,4,18,4,4,1,2.402918688,45.34,"[American (Traditional), Restaurants]",Pittsburgh,PA,TGI Friday's,18,2.5,40.438782,-79.990515,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[The Hill District],TRUE,45,108.9483333
51,s5ZdjjFX3CS2uS6_oVH7CQ,2,135,42,27,8,3.658798298,244.015,"[Mexican, Tex-Mex, Restaurants]",Pittsburgh,PA,Mad Mex - Oakland,190,3.5,40.438019,-79.954209,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,[Oakland],TRUE,665,892.8016667
52,106U0pNBlmR5uekLzOTdBg,20,3,2,2,2,3.666666667,3,"[Local Services, Dry Cleaning & Laundry, Sewing & Alterations]",Pittsburgh,PA,Suburban Dry Cleaners,4,3,40.3886283,-80.0492732,,,,,,,,,,,,[],TRUE,12,11
53,KPs8regMBN7huQc4ouC4rg,30,8,0,0,0,3.439217964,17.22,"[Food, Coffee & Tea]",Pittsburgh,PA,Aldo Coffee Co,12,3.5,40.3812488,-80.0442439,,,,,,,,,,,,[],FALSE,42,59.22333334
54,Q9V54MxoopwWu8Nwpuq9AA,31,23,5,3,0,3.269737879,31.72833333,"[Turkish, Pizza, Restaurants]",Pittsburgh,PA,Ephesus Pizza,26,3.5,40.4971912,-80.0588477,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[Bellevue],TRUE,91,103.7433333
55,VbspQ858e9Qz7SwAJzc2mA,32,12,6,4,2,4.703259267,32.77833333,"[Food, Specialty Food, Candy Stores]",Pittsburgh,PA,Grandpa Joes Candy Shop,12,4.5,40.4520089,-79.982244,,,,,,,,,,,,[Strip District],TRUE,54,154.165
56,XBoZ37qBlvgZyfpIO0yEzQ,15,21,10,8,3,4.477573727,52.72833333,"[Food, Grocery]",Pittsburgh,PA,Aldi,21,4,40.426888,-79.967468,,,,,,,,,,,,[South Side],TRUE,84,236.095
57,bockWFDA3mzjuujY7tOcaw,22,11,2,1,0,2.823349737,9.821666667,"[Shopping, Photography Stores & Services]",Pittsburgh,PA,Bernie's Photo Center,11,3,40.453428,-79.9997093,,,,,,,,,,,,[North Side],TRUE,33,27.73
58,f0yYGHKjedEz8Uv2sQK9kQ,4,6,1,0,0,2.172571517,21.49833333,"[Vitamins & Supplements, Shopping]",Pittsburgh,PA,GNC,6,3.5,40.4416426,-79.999706,,,,,,,,,,,,[Downtown],TRUE,21,46.70666666
59,iBlNvl-AHwCiUGcTx3DBfQ,15,5,1,1,1,5,5.705,"[Active Life, Gyms, Fitness & Instruction]",Pittsburgh,PA,Crossfit Athletics,5,5,40.42611,-79.96681,,,,,,,,,,,,[South Side],FALSE,25,28.525
60,kgyLeo8pRbiAUYZ6Gh8JtA,33,4,2,2,0,3,3.81,"[Health & Medical, Chiropractors]",Pittsburgh,PA,Winer Wellness Center,5,3.5,40.426592,-80.0577969,,,,,,,,,,,,[West End],TRUE,17.5,11.43
61,rNMEy4XYJfRE2-d9Qr7n5g,4,31,18,12,5,4.428280428,49.09166667,"[Mediterranean, Restaurants]",Pittsburgh,PA,Madonna's Mediterranean Cuisine,31,4.5,40.4389554,-79.9993319,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Downtown],TRUE,139.5,217.3916667
62,twXhRWSJR4WmzrEMqM8rEQ,32,6,3,3,3,3.96875,10.66666667,"[Food, Breweries]",Pittsburgh,PA,Red Star Kombucha,6,4.5,40.453845,-79.980478,,,,,,,,,,,,[Strip District],TRUE,27,42.33333335
63,vZ9_qKyK3B3cO7lxTmif_Q,34,10,6,6,4,3.535365377,25.59,"[Health & Medical, Urgent Care]",Pittsburgh,PA,MedExpress Urgent Care,11,3,40.393048,-80.0664665,,,,,,,,,,,,[],TRUE,33,90.47
64,vkRpoXtEaL4UEERUWMp7YQ,35,3,0,0,0,4.363636364,2.291666667,"[Breakfast & Brunch, Vegetarian, Restaurants]",Pittsburgh,PA,Morning Glory Coffeehouse,3,4.5,40.4855169,-79.9255017,none,,,,,,,,,,FALSE,[Morningside],FALSE,13.5,10
65,0b6OAFt85maz05EuvYd_WQ,4,17,3,3,1,3.837631799,43.94333333,"[Museums, Arts & Entertainment, Art Galleries, Shopping]",Pittsburgh,PA,ToonSeum,19,3.5,40.4435879,-79.9965296,,,,,,,,,,,,[Downtown],TRUE,66.5,168.6383333
66,5Bx-z-7KxB0g6nOuO9gOwg,36,5,1,1,0,4.256857855,4.01,"[Local Services, Dry Cleaning & Laundry]",Pittsburgh,PA,Strong II Dry Cleaners,6,4,40.455514,-79.889315,,,,,,,,,,,,[Homewood],TRUE,24,17.07
67,AD5dYhKTUh2BdFXAd-IYPQ,32,13,7,7,0,2.978720817,13.70666667,"[Arts & Entertainment, Performing Arts]",Pittsburgh,PA,Terror Town,11,3.5,40.4503391,-79.9867761,,,,,,,,,,,,[Strip District],TRUE,38.5,40.82833334
68,Ak4s2gS-jx8iW33jY4u3jA,19,43,7,7,4,4.497831384,96.45166667,"[Food, Coffee & Tea]",Pittsburgh,PA,Té Café,64,4.5,40.434156,-79.923207,,,,,,,,,,,,[Squirrel Hill],TRUE,288,433.8233334
69,DN9rQhcXvw4iGyBUgqQVvg,19,6,1,1,1,2.724847782,11.49666667,"[Local Services, Engraving, Shopping, Jewelry]",Pittsburgh,PA,William Penn Jewelers & Engravers,8,2.5,40.4362887,-79.9226996,,,,,,,,,,,,[Squirrel Hill],TRUE,20,31.32666668
70,DhDNNHZtaBxYNSqJz64ixg,4,25,9,6,3,3.887468267,36.10833333,"[Restaurants, Italian]",Pittsburgh,PA,La Gondola Pizzeria & Restaurant,27,4.5,40.4400655,-80.0025144,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[Downtown],TRUE,121.5,140.37
71,FUVs0krBUtSylmRKO_J7ZQ,12,8,2,2,2,3.608614232,14.24,"[Seafood, Restaurants, Pizza, Italian]",Pittsburgh,PA,Piacquadio's Restaurant & Lounge,7,4,40.368716,-80.034629,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[],TRUE,28,51.38666666
72,IioXbak-RBW3oleEJeOw3g,4,3,1,0,0,5,2.405,"[Barbers, Nail Salons, Beauty & Spas]",Pittsburgh,PA,Hair Plus Jos V Moschella,3,5,40.4392353,-79.9972715,,,,,,,,,,,,[Downtown],TRUE,15,12.025
73,KLiHYcLVvtGQY98Xv2kAeA,37,4,2,2,1,4.630541872,5.413333333,"[Sandwiches, Restaurants]",Pittsburgh,PA,Boardwalk Sandwich Shop,4,4.5,40.3705043,-79.9823983,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[],TRUE,18,25.06666667
74,Nkryj8KlbP6O2_FI-EjNsg,38,34,10,10,0,3.513013908,38.22833333,"[Arts & Entertainment, Performing Arts]",Etna,PA,The Scarehouse,36,3.5,40.499285,-79.944321,,,,,,,,,,,,[Etna],TRUE,126,134.2966667
75,SH_SFnXxaCgn1_LMT2tzJg,39,4,4,4,3,1.256081946,3.905,"[Auto Repair, Automotive, Towing]",Pittsburgh,PA,Ferra's Automotive Services,4,1.5,40.49430008,-79.92917363,,,,,,,,,,,,[Sharpsburg],TRUE,6,4.904999999
76,a9-qixaIQftb4HNZz4ocIw,40,29,12,9,3,3.682356093,37.32166667,"[Steakhouses, Seafood, Restaurants, Italian]",Pittsburgh,PA,Donatos Fox Chapel,30,3.5,40.48833508,-79.88283756,full_bar,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[],TRUE,105,137.4316667
77,rM2u39FtdD7WZPaTgmRS9Q,41,11,5,5,3,3.537418709,33.31666667,"[American (Traditional), Restaurants]",Pittsburgh,PA,Grant Bar,15,3.5,40.4782692,-79.9697234,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Millvale],TRUE,52.5,117.855
78,rmMssDMCWopIaLWq7ZCm2Q,2,12,8,8,8,3.8,20,"[American (New), Sandwiches, Moroccan, Restaurants]",Pittsburgh,PA,Beta Bites,13,3.5,40.4400241,-79.9532523,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[Oakland],TRUE,45.5,76
79,xu7PDGbHRp7f3cLYGhHrAg,42,7,4,3,2,3.050705612,10.15666667,"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",Pittsburgh,PA,Wheelhouse Bar & Grill,8,3.5,40.447203,-80.022159,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[North Side],TRUE,28,30.98500001
80,24GmG-gusr5Jugnf_iX1KA,43,3,2,2,2,3.985074627,2.68,"[Home Services, Home Inspectors]",Pittsburgh,PA,Enviro Tech USA,3,3.5,40.400763,-80.013526,,,,,,,,,,,,[Brookline],TRUE,10.5,10.68
81,4LcFKTr6Ah87VcxW2z5e6w,4,4,3,2,0,2.466562986,6.43,"[Burgers, Fast Food, Restaurants]",Pittsburgh,PA,McDonald's,4,2.5,40.4422917,-79.9989455,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Downtown],TRUE,10,15.86
82,EY8LbImik11lOMQYHRaT3g,44,3,2,1,1,4.207196219,10.93166667,"[Churches, Religious Organizations]",Pittsburgh,PA,St Regis Parish,3,4.5,40.430464,-79.953369,,,,,,,,,,,,[Oakland],TRUE,13.5,45.99166668
83,FccyNVTfKa2Dj3asXi10NQ,9,40,26,24,11,4.19986083,76.645,"[American (New), Salad, Restaurants]",Carnegie,PA,One Thirty One East,44,4.5,40.408037,-80.086177,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[Carnegie],TRUE,198,321.8983333
84,Jp6jJT_DHEjKygTVMvQTGg,4,4,3,3,3,5,9.486666667,"[Men's Clothing, Fashion, Shopping]",Pittsburgh,PA,Kountz & Rider,4,5,40.4380067,-79.9988746,,,,,,,,,,,,[Downtown],FALSE,20,47.43333334
85,Klog5rsTfJEf41Kqva3FsA,45,8,3,3,1,3.053524392,15.81833333,"[Pubs, Bars, Nightlife]",Pittsburgh,PA,Ryan's Pub,11,3,40.439409,-79.897199,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,[Regent Square],TRUE,33,48.30166666
86,NQvXdC5BtO9hwhOO7ND0Sw,31,6,3,3,2,4.66130398,5.905,"[Beauty & Spas, Nail Salons]",Bellevue,PA,Dojo Nails,8,4,40.4964181,-80.0574793,,,,,,,,,,,,[Bellevue],TRUE,32,27.525
87,PXayh8IaeF-5xqMuCIu65g,19,7,1,0,0,2.770482047,8.401666667,"[Beauty & Spas, Nail Salons]",Pittsburgh,PA,Nail Club II,10,3.5,40.4378199,-79.9199427,,,,,,,,,,,,[Squirrel Hill],TRUE,35,23.27666667
88,Zx7SyXciooARkpFkkMf3Ug,34,3,2,2,2,4.304347826,7.666666667,"[Active Life, Gyms, Trainers, Fitness & Instruction]",Pittsburgh,PA,Fitness 19,3,4,40.3938064,-80.0659731,,,,,,,,,,,,[],TRUE,12,33
89,cKQn19-p4FtLIR4IaP6xuw,19,43,10,8,5,3.027623579,63.05,"[Asian Fusion, Chinese, Restaurants]",Pittsburgh,PA,New Dumpling House,55,3,40.4326061,-79.9233686,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[Squirrel Hill],TRUE,165,190.8916667
