"","X","business_id","clusters","regression_value","after_Jan2010_count","after_Jan2014_count","after_Jun2014_count","after_Jan2015_count","ratings_avg","users_sum","weighted_regression_value","categories","city","state","name","review_count","stars","latitude","longitude","attributes.Alcohol.","attributes.Ambience..casual.","attributes.Ambience..classy.","attributes.Ambience..divey.","attributes.Ambience..hipster.","attributes.Ambience..intimate.","attributes.Ambience..romantic.","attributes.Ambience..touristy.","attributes.Ambience..trendy.","attributes.Ambience..upscale.","attributes.Delivery.","neighborhoods","open","predicted_value"
"19",18,"ugAF3Hc9NPGl3SVx5ddG5g",14,94.5,20,5,5,5,4.8125,5.333333333,25.66666667,"[Food, Coffee & Tea]","Pittsburgh","PA","Arnold's Tea",21,4.5,40.4536756,-80.0004646,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"[North Side]",TRUE,96.37295
"20",19,"wluhsOjt03CgORropJKQoA",2,15,5,1,1,0,2.873311368,10.11666667,29.06833335,"[Fast Food, Sandwiches, Restaurants]","Pittsburgh","PA","Subway",6,2.5,40.439597,-80.00141,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"[Downtown]",TRUE,15.3249166666667
"21",20,"zeMmyM8fGFM-0GL2ZOl5Og",15,7.5,3,0,0,0,3.187250996,1.673333333,5.333333332,"[Beauty & Spas, Nail Salons]","Pittsburgh","PA","City Nails",3,2.5,40.434151,-79.862572,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,9.90651666666667
"22",21,"znLLBvvY8Kv-8ZDESiPZzQ",8,50,9,4,4,4,4.902635592,7.651666666,37.51333333,"[Pet Groomers, Pet Services, Pets]","Pittsburgh","PA","Diamond In the Ruff",10,5,40.4259393,-79.9806048,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[South Side]",TRUE,47.2701333333333
"23",22,"30T84H-0b9-Ft0KqbpKmKQ",16,256,57,33,30,16,3.608792805,59.67,215.3366667,"[Middle Eastern, Restaurants]","Pittsburgh","PA","Naya Cuisine",64,4,40.43419037,-79.9230114,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Squirrel Hill]",TRUE,249.247783333333
"24",23,"7vXcsbM_q5_QeGbqKaK6bg",17,30,5,1,1,1,5,2.64,13.2,"[Shopping, Eyewear & Opticians]","Pittsburgh","PA","20/20 Opticians",6,5,40.4229632,-79.9285232,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Greenfield]",TRUE,28.0667833333333
"25",24,"I_LlnAQe7jGwO9rfjaDdLg",18,59.5,18,4,3,2,4.348754448,61.82,268.84,"[Sandwiches, Restaurants]","Pittsburgh","PA","Peppi's",17,3.5,40.4470389,-79.893966,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Point Breeze]",TRUE,87.4761
"26",25,"NS5m7kg9phWfjP27qmxgYA",8,152.5,47,21,14,10,2.399697594,60.625,145.4816666,"[Steakhouses, Restaurants]","Pittsburgh","PA","Pittsburgh Steak Company",61,2.5,40.4285411,-79.9779834,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[South Side]",TRUE,146.7016
"27",26,"OmAWp8kUqXrW0umGdZgNUg",1,80,12,2,2,2,4.81511767,8.356666667,40.23833333,"[Music & DVDs, Books, Mags, Music & Video, Vinyl Records, Shopping, Newspapers & Magazines]","Pittsburgh","PA","Sound Cat Records",16,5,40.462501,-79.9511556,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Bloomfield]",TRUE,71.0208333333333
"28",27,"PfAjfYv2AA50NxwhLrJG8A",19,17.5,3,1,1,0,3.999999999,1.206666667,4.826666667,"[Active Life, Bowling]","Pittsburgh","PA","Princess Bowling Lanes",5,3.5,40.3593906,-80.0006895,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,12.6309833333333
"29",28,"Y9krCILoQVmT6v8X6gLltg",20,72,14,1,1,0,4.226105412,23.55833333,99.55999998,"[Dive Bars, Bars, Nightlife]","Pittsburgh","PA","Brewski's",16,4.5,40.428858,-79.990906,"full_bar",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"[South Side]",TRUE,69.5769833333334
"30",29,"dWEXG9aimhOXkbP4yw4UMg",2,204,48,29,27,14,4.236631667,47.93666667,203.09,"[Turkish, Mediterranean, Restaurants]","Pittsburgh","PA","Alihan's Mediterranean Cuisine",51,4,40.44390116,-80.00268763,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[Downtown]",TRUE,228.647883333333
"31",30,"drJpzE3cxE0MQUq7gkzRvg",6,232,49,16,11,6,3.52306402,65.57833333,231.0366666,"[Sandwiches, Restaurants]","Pittsburgh","PA","Uncle Sam's Submarines",58,4,40.44122235,-79.95674103,"none",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Oakland]",TRUE,225.99105
"32",31,"m0FLMyymdBRHin2xaTqkLw",2,45,18,4,4,1,2.38423083,42.34,100.9483333,"[American (Traditional), Restaurants]","Pittsburgh","PA","TGI Friday's",18,2.5,40.438782,-79.990515,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[The Hill District]",TRUE,51.2036166666666
"33",32,"s5ZdjjFX3CS2uS6_oVH7CQ",6,665,135,42,27,8,3.674293532,229.015,841.4683332,"[Mexican, Tex-Mex, Restaurants]","Pittsburgh","PA","Mad Mex - Oakland",190,3.5,40.438019,-79.954209,"full_bar",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"[Oakland]",TRUE,615.7274
"34",33,"106U0pNBlmR5uekLzOTdBg",21,12,3,2,2,2,5,2,10,"[Local Services, Dry Cleaning & Laundry, Sewing & Alterations]","Pittsburgh","PA","Suburban Dry Cleaners",4,3,40.3886283,-80.0492732,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,13.2363666666667
"35",34,"Q9V54MxoopwWu8Nwpuq9AA",22,91,23,5,3,0,3.637767302,24.395,88.74333333,"[Turkish, Pizza, Restaurants]","Pittsburgh","PA","Ephesus Pizza",26,3.5,40.4971912,-80.0588477,"none",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[Bellevue]",TRUE,94.7754
"36",35,"VbspQ858e9Qz7SwAJzc2mA",23,54,12,6,4,2,4.693921434,31.77833334,149.165,"[Food, Specialty Food, Candy Stores]","Pittsburgh","PA","Grandpa Joes Candy Shop",12,4.5,40.4520089,-79.982244,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Strip District]",TRUE,58.8832833333333
"37",36,"XBoZ37qBlvgZyfpIO0yEzQ",8,84,21,10,8,3,4.677421796,44.06166666,206.095,"[Food, Grocery]","Pittsburgh","PA","Aldi",21,4,40.426888,-79.967468,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[South Side]",TRUE,101.737466666667
"38",37,"f0yYGHKjedEz8Uv2sQK9kQ",2,21,6,1,0,0,1.934952517,19.83166667,38.37333334,"[Vitamins & Supplements, Shopping]","Pittsburgh","PA","GNC",6,3.5,40.4416426,-79.999706,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Downtown]",TRUE,18.9068
"39",38,"kgyLeo8pRbiAUYZ6Gh8JtA",24,17.5,4,2,2,0,3,1.81,5.43,"[Health & Medical, Chiropractors]","Pittsburgh","PA","Winer Wellness Center",5,3.5,40.426592,-80.0577969,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[West End]",TRUE,16.2702333333333
"40",39,"rNMEy4XYJfRE2-d9Qr7n5g",2,139.5,31,18,12,5,4.214449249,32.75833333,138.0583333,"[Mediterranean, Restaurants]","Pittsburgh","PA","Madonna's Mediterranean Cuisine",31,4.5,40.4389554,-79.9993319,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Downtown]",TRUE,138.067983333333
"41",40,"twXhRWSJR4WmzrEMqM8rEQ",23,27,6,3,3,3,4.700000001,3.333333333,15.66666667,"[Food, Breweries]","Pittsburgh","PA","Red Star Kombucha",6,4.5,40.453845,-79.980478,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Strip District]",TRUE,32.9517333333333
"42",41,"vZ9_qKyK3B3cO7lxTmif_Q",25,33,10,6,6,4,3.638470924,24.59,89.47000002,"[Health & Medical, Urgent Care]","Pittsburgh","PA","MedExpress Urgent Care",11,3,40.393048,-80.0664665,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,44.9249333333333
"43",42,"0b6OAFt85maz05EuvYd_WQ",2,66.5,17,3,3,1,3.816785072,38.94333333,148.6383333,"[Museums, Arts & Entertainment, Art Galleries, Shopping]","Pittsburgh","PA","ToonSeum",19,3.5,40.4435879,-79.9965296,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Downtown]",TRUE,66.4615166666667
"44",43,"5Bx-z-7KxB0g6nOuO9gOwg",26,24,5,1,1,0,4.009966777,3.01,12.07,"[Local Services, Dry Cleaning & Laundry]","Pittsburgh","PA","Strong II Dry Cleaners",6,4,40.455514,-79.889315,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Homewood]",TRUE,21.9887833333333
"45",44,"AD5dYhKTUh2BdFXAd-IYPQ",23,38.5,13,7,7,0,3.044785032,8.373333334,25.495,"[Arts & Entertainment, Performing Arts]","Pittsburgh","PA","Terror Town",11,3.5,40.4503391,-79.9867761,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Strip District]",TRUE,41.8037
"46",45,"Ak4s2gS-jx8iW33jY4u3jA",16,288,43,7,7,4,4.522907686,85.45166667,386.49,"[Food, Coffee & Tea]","Pittsburgh","PA","Té Café",64,4.5,40.434156,-79.923207,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Squirrel Hill]",TRUE,255.692133333333
"47",46,"DN9rQhcXvw4iGyBUgqQVvg",16,20,6,1,1,1,2.324499729,6.163333334,14.32666666,"[Local Services, Engraving, Shopping, Jewelry]","Pittsburgh","PA","William Penn Jewelers & Engravers",8,2.5,40.4362887,-79.9226996,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Squirrel Hill]",TRUE,19.9330666666667
"48",47,"DhDNNHZtaBxYNSqJz64ixg",2,121.5,25,9,6,3,4.07843457,20.44166667,83.37000002,"[Restaurants, Italian]","Pittsburgh","PA","La Gondola Pizzeria & Restaurant",27,4.5,40.4400655,-80.0025144,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[Downtown]",TRUE,116.247233333333
"49",48,"FUVs0krBUtSylmRKO_J7ZQ",27,28,8,2,2,2,3.116640747,8.573333333,26.72,"[Seafood, Restaurants, Pizza, Italian]","Pittsburgh","PA","Piacquadio's Restaurant & Lounge",7,4,40.368716,-80.034629,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[]",TRUE,29.3916166666667
"50",49,"KLiHYcLVvtGQY98Xv2kAeA",28,18,4,2,2,1,5.000000001,3.413333333,17.06666667,"[Sandwiches, Restaurants]","Pittsburgh","PA","Boardwalk Sandwich Shop",4,4.5,40.3705043,-79.9823983,"none",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[]",TRUE,23.9427666666667
"51",50,"Nkryj8KlbP6O2_FI-EjNsg",29,126,34,10,10,0,3.887350219,23.22833334,90.2966667,"[Arts & Entertainment, Performing Arts]","Etna","PA","The Scarehouse",36,3.5,40.499285,-79.944321,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Etna]",TRUE,152.031283333333
"52",51,"a9-qixaIQftb4HNZz4ocIw",30,105,29,12,9,3,3.621781984,33.98833333,123.0983333,"[Steakhouses, Seafood, Restaurants, Italian]","Pittsburgh","PA","Donatos Fox Chapel",30,3.5,40.48833508,-79.88283756,"full_bar",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[]",TRUE,124.08145
"53",52,"rM2u39FtdD7WZPaTgmRS9Q",31,52.5,11,5,5,3,4.211737089,10.65,44.855,"[American (Traditional), Restaurants]","Pittsburgh","PA","Grant Bar",15,3.5,40.4782692,-79.9697234,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Millvale]",TRUE,50.8373
"54",53,"rmMssDMCWopIaLWq7ZCm2Q",6,45.5,12,8,8,8,3.625,8,29,"[American (New), Sandwiches, Moroccan, Restaurants]","Pittsburgh","PA","Beta Bites",13,3.5,40.4400241,-79.9532523,"none",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[Oakland]",TRUE,49.7338166666666
"55",54,"4LcFKTr6Ah87VcxW2z5e6w",2,10,4,3,2,0,2,5.43,10.86,"[Burgers, Fast Food, Restaurants]","Pittsburgh","PA","McDonald's",4,2.5,40.4422917,-79.9989455,"none",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Downtown]",TRUE,10.2882333333333
"56",55,"FccyNVTfKa2Dj3asXi10NQ",32,198,40,26,24,11,4.213693006,57.645,242.8983333,"[American (New), Salad, Restaurants]","Carnegie","PA","One Thirty One East",44,4.5,40.408037,-80.086177,"full_bar",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[Carnegie]",TRUE,196.939716666667
"57",56,"Klog5rsTfJEf41Kqva3FsA",33,33,8,3,3,1,2.989652457,14.81833333,44.30166665,"[Pubs, Bars, Nightlife]","Pittsburgh","PA","Ryan's Pub",11,3,40.439409,-79.897199,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"[Regent Square]",TRUE,29.8962333333333
"58",57,"NQvXdC5BtO9hwhOO7ND0Sw",22,32,6,3,3,2,4.655765921,2.905,13.525,"[Beauty & Spas, Nail Salons]","Bellevue","PA","Dojo Nails",8,4,40.4964181,-80.0574793,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Bellevue]",TRUE,31.4234166666667
"59",58,"PXayh8IaeF-5xqMuCIu65g",16,35,7,1,0,0,2.469263679,7.401666666,18.27666666,"[Beauty & Spas, Nail Salons]","Pittsburgh","PA","Nail Club II",10,3.5,40.4378199,-79.9199427,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Squirrel Hill]",TRUE,28.4290333333333
"60",59,"Zx7SyXciooARkpFkkMf3Ug",25,12,3,2,2,2,4.5,6.666666666,30,"[Active Life, Gyms, Trainers, Fitness & Instruction]","Pittsburgh","PA","Fitness 19",3,4,40.3938064,-80.0659731,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,15.6053666666667
"61",60,"cKQn19-p4FtLIR4IaP6xuw",16,165,43,10,8,5,2.868150166,55.05,157.8916666,"[Asian Fusion, Chinese, Restaurants]","Pittsburgh","PA","New Dumpling House",55,3,40.4326061,-79.9233686,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[Squirrel Hill]",TRUE,158.3185
"62",61,"tv8cS4aaA1VDaInYgggb6g",34,120,36,14,9,5,2.837714187,77.23,219.1566667,"[Nightlife, Comedy Clubs]","Homestead","PA","Improv Comedy Club",40,3,40.4089836,-79.9148477,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"[Homestead]",TRUE,119.827016666667
"63",62,"4NhJV3Hw3OoTKbnjmIQ9UA",1,27,5,1,1,1,5,1.82,9.1,"[Automotive, Body Shops]","Pittsburgh","PA","B & M Automotive Services",6,4.5,40.4639651,-79.9528929,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Bloomfield]",TRUE,25.3720166666667
"64",63,"4aFpqIBq-dFz7Fu1sIL6iA",8,156,46,13,10,3,3.033631824,80.77666667,245.0466666,"[Bars, Nightlife, Lounges]","Pittsburgh","PA","Tiki Lounge",52,3,40.4287658,-79.9773699,"full_bar",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[South Side]",TRUE,163.5862
"65",64,"E5a7jOdolVv-LAHnDAEpew",8,154,35,11,7,6,3.86095963,42.48166667,164.02,"[Bars, Music Venues, Arts & Entertainment, Dance Clubs, Nightlife, Lounges]","Pittsburgh","PA","Diesel Club Lounge",44,3.5,40.4289717,-79.9825413,"full_bar",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"[South Side]",TRUE,157.809
"66",65,"EzqtAtYgobZubPJ7AMNFsA",8,7.5,3,0,0,0,2,3.228333333,6.456666666,"[Party Supplies, Shopping, Event Planning & Services, Wigs]","Pittsburgh","PA","Spirit Halloween",3,2.5,40.4273393,-79.9668182,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[South Side]",TRUE,8.67836666666667
"67",66,"O3PnM1fH8vqDpk-kzYqh5A",35,184.5,37,11,9,4,4.172316881,56.93,237.53,"[Food, Coffee & Tea, Sandwiches, Restaurants]","Pittsburgh","PA","Cannon Coffee",41,4.5,40.3934598,-80.0201357,"none",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Brookline]",FALSE,190.633366666667
"68",67,"Oq01QS2G1OvCsunccVSgxQ",16,308,74,27,21,8,3.564456539,83.90666667,299.0816667,"[Korean, Restaurants, Karaoke, Nightlife]","Pittsburgh","PA","Green Pepper",88,3.5,40.434176,-79.922987,"beer_and_wine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Squirrel Hill]",TRUE,284.160333333333
"69",68,"QPGMu7wXOciTRQVwklPoLA",8,248,56,29,24,9,4.021222433,64.16166667,258.0083334,"[American (Traditional), Sandwiches, Restaurants]","Pittsburgh","PA","Tootie's Famous Italian Beef",62,4,40.4286795,-79.9826031,"none",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[South Side]",TRUE,248.809166666667
"70",69,"VrkTAT-gBdhagkXLz1_eUg",36,48,13,7,6,3,4.112136595,7.223333333,29.70333334,"[Caribbean, Restaurants]","Pittsburgh","PA","Rasta House",12,4,40.456127,-80.006524,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[North Side]",TRUE,51.8195
"71",70,"_BpPAhDWWmebVL7MC6zkmA",2,68,16,14,14,4,3.506954612,22.76666667,79.84166668,"[Thai, Restaurants]","Pittsburgh","PA","Chili Noodle Corner",17,4,40.441237,-80.003478,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Downtown]",FALSE,65.8027
"72",71,"bcyUzl_0Cy2ZhGwf-GxBKw",37,24.5,7,5,4,2,3.490590954,5.048333333,17.62166666,"[Veterinarians, Pets]","Pittsburgh","PA","Edgebrook Veterinary Clinic",7,3.5,40.4018428,-80.0003315,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Carrick]",TRUE,25.8869666666667
"73",72,"dWg_Wkun000du6jiI3TPUw",23,202.5,33,14,7,4,4.266087743,58.92166667,251.365,"[Food, Specialty Food]","Pittsburgh","PA","Penzeys Spices",45,4.5,40.450319,-79.9853489,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Strip District]",TRUE,187.105333333333
"74",73,"eT5Ck7Gg1dBJobca9VFovw",38,108.5,28,8,8,5,3.56769938,83.38333334,297.4866667,"[Food, Grocery]","Homestead","PA","Giant Eagle",31,3.5,40.4111498,-79.908469,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Homestead]",TRUE,120.080533333333
"75",74,"gigNV0IN6uy8DAsLFHurPQ",16,193.5,37,11,10,4,4.287723786,59.95333333,257.0633334,"[Greek, Restaurants]","Pittsburgh","PA","The Greek Gourmet",43,4.5,40.432671,-79.923474,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Squirrel Hill]",TRUE,195.580833333333
