,cluster,cluster_frequency
10,11,"[('Food', 3), (' Restaurants', 3), (' Grocery', 2), ('Bars', 1), (' Nightlife', 1), ('American (New)', 1), (' Coffee & Tea', 1), (' Mexican', 1), ('Latin American', 1)]"
11,12,"[(' Restaurants', 7), ('Food', 3), (' Automotive', 2), (' Pizza', 2), (' Cards & Stationery', 1), (' Ice Cream & Frozen Yogurt', 1), (' Shopping', 1), (' Food', 1), ('Beauty & Spas', 1), ('Arts & Entertainment', 1), (' Arts & Crafts', 1), (' Gift Shops', 1), ('Fast Food', 1), (' Dentists', 1), (' Cosmetics & Beauty Supply', 1), ('Car Wash', 1), ('Shopping', 1), (' Beauty & Spas', 1), (' Italian', 1), (' Flowers & Gifts', 1), (' Coffee & Tea', 1), ('Thai', 1), ('Pizza', 1), (' Wine & Spirits', 1), ('Bakeries', 1), (' Nail Salons', 1), ('Hair Salons', 1), (' Chinese', 1), ('Seafood', 1), (' Sewing & Alterations', 1), ('Local Services', 1), (' Tires', 1), ('Mexican', 1), (' Event Planning & Services', 1), ('Italian', 1), (' General Dentistry', 1), ('Chinese', 1), ('Auto Repair', 1), ('Active Life', 1), ('Health & Medical', 1), (' Paint & Sip', 1), (' Oil Change Stations', 1), (' Sandwiches', 1), (' Cycling Classes', 1), (' Beer', 1)]"
12,13,"[(' Restaurants', 16), (' Nightlife', 13), ('Bars', 10), (' Shopping', 4), (' American (New)', 4), ('Food', 4), ('Hotels & Travel', 4), (' Event Planning & Services', 4), ('Seafood', 3), ('Nightlife', 3), (' Tours', 3), (' Sandwiches', 3), (' Automotive', 2), (' Venues & Event Spaces', 2), (' Dance Clubs', 2), (' Arts & Entertainment', 2), (' American (Traditional)', 2), (' Coffee & Tea', 2), (' Fashion', 2), ('Steakhouses', 2), (' Sports Bars', 2), (' Pizza', 2), ('Tobacco Shops', 1), (' Food', 1), ('Beauty & Spas', 1), ('Fondue', 1), ('Arts & Entertainment', 1), ('Breakfast & Brunch', 1), (' Ice Cream & Frozen Yogurt', 1), ('Shopping Centers', 1), (' Lounges', 1), ('Sushi Bars', 1), ('Gas & Service Stations', 1), ('Landmarks & Historical Buildings', 1), (' Breakfast & Brunch', 1), (' Sports Wear', 1), (' Wineries', 1), (' Brazilian', 1), ('Restaurants', 1), (' Accessories', 1), ('Music Venues', 1), (' Japanese', 1), (' Bars', 1), (' Boat Charters', 1), (' Nail Salons', 1), (' Hiking', 1), (""Women's Clothing"", 1), (' Desserts', 1), (' Public Services & Government', 1), ('Sporting Goods', 1), (' Music Venues', 1), (' Hotels', 1), ('Italian', 1), ('Chinese', 1), (' Hair Removal', 1), (' Jewelry', 1), (' Italian', 1), ('Active Life', 1), ('Tires', 1), (' Convenience Stores', 1)]"
13,14,"[(' Shopping', 1), (' Carpet Cleaning', 1), (' Home & Garden', 1), ('Local Services', 1), (' Furniture Reupholstery', 1)]"
14,15,"[(' Restaurants', 115), (' Nightlife', 57), ('Food', 38), (' Shopping', 37), (' Bars', 29), ('Bars', 28), (' Beauty & Spas', 24), ('Dive Bars', 13), (' Fashion', 13), (' Lounges', 12), (' American (Traditional)', 12), ('Active Life', 10), (' Coffee & Tea', 10), ('Mexican', 10), ('Arts & Entertainment', 8), ('Hair Salons', 8), (' Italian', 8), (' Fitness & Instruction', 8), ('American (Traditional)', 8), (' Automotive', 7), ('Shopping', 7), (""Women's Clothing"", 7), ('Pizza', 7), (' Wine & Spirits', 7), (' Beer', 7), (' Dance Clubs', 6), ('Breakfast & Brunch', 6), (' Event Planning & Services', 6), (' Pizza', 6), (' Sandwiches', 6), (' American (New)', 5), ('Restaurants', 5), ('Fashion', 5), (' Ice Cream & Frozen Yogurt', 5), ('Burgers', 5), ('Tattoo', 5), (' Food', 5), (' Health & Medical', 5), ('Sandwiches', 4), (' Cafes', 4), (' Nail Salons', 4), ('American (New)', 4), (' Gyms', 4), ('Auto Repair', 4), (' Desserts', 4), ('Pubs', 4), (' Music Venues', 4), ("" Men's Clothing"", 4), ('Fast Food', 4), (' Grocery', 4), ('Hotels & Travel', 4), (' Vintage & Consignment', 4), (' Accessories', 4), ('Local Services', 4), (' Sports Bars', 4), (' Convenience Stores', 4), (' Piercing', 3), (' Venues & Event Spaces', 3), ('French', 3), (""Men's Clothing"", 3), (' Music & Video', 3), ('Nightlife', 3), (' Mags', 3), ('Thrift Stores', 3), ('Tanning', 3), (' Hair Removal', 3), (' Cocktail Bars', 3), ('Beauty & Spas', 3), (' Diners', 3), ('Greek', 3), (' Hotels', 3), (' Shoe Stores', 3), (' Sporting Goods', 3), (' Used', 3), (' Financial Services', 3), (' Specialty Food', 3), ('Diners', 3), (' Eyelash Service', 3), (' Home & Garden', 3), (' Hookah Bars', 3), (' Mediterranean', 3), (' Yoga', 3), (' Candy Stores', 2), (' Real Estate', 2), (' Juice Bars & Smoothies', 2), ('Sushi Bars', 2), (' Breakfast & Brunch', 2), (' Radio Stations', 2), (' Asian Fusion', 2), ('Music & DVDs', 2), (' Mexican', 2), (' Japanese', 2), (' Public Services & Government', 2), ('Italian', 2), (' Body Shops', 2), ('Steakhouses', 2), (' Parks', 2), (' Barbeque', 2), (' Art Galleries', 2), ('Chicken Wings', 2), (' Eyewear & Opticians', 2), (' Optometrists', 2), (' Antiques', 2), (' Chicken Wings', 2), ('Lounges', 2), ('Thai', 2), (' Burgers', 2), ('Mass Media', 2), (' Apartments', 2), (' Bikes', 2), ('Asian Fusion', 2), (' Hair Extensions', 2), (' Arts & Entertainment', 2), (' Massage', 2), ('Bakeries', 2), ('Vegetarian', 2), (' Spanish', 2), (' Arcades', 2), (' Vegan', 2), (' Drugstores', 2), ('Tobacco Shops', 2), ('Tires', 2), ('Basque', 2), (' Active Life', 2), (' Pubs', 2), ('Home Services', 2), ('Banks & Credit Unions', 2), (' Performing Arts', 2), (' Salad', 2), (' Books', 2), ("" Women's Clothing"", 2), (' Dentists', 1), (' Trainers', 1), (' Musical Instrument Services', 1), ('Tapas/Small Plates', 1), (' Barre Classes', 1), ('Gluten-Free', 1), (' Pets', 1), (' Screen Printing', 1), (' Cosmetics & Beauty Supply', 1), (' Fish & Chips', 1), (' British', 1), (' Do-It-Yourself Food', 1), ('Party Supplies', 1), (' Sports Clubs', 1), (' Barbers', 1), ('Middle Eastern', 1), (' General Dentistry', 1), (' Dog Parks', 1), (' Tapas/Small Plates', 1), (' Local Services', 1), (' Laser Hair Removal', 1), ('Delis', 1), (' Vape Shops', 1), (' Gas & Service Stations', 1), ("" Children's Clothing"", 1), (' Outdoor Gear', 1), ('Shopping Centers', 1), (' Makeup Artists', 1), ('Car Wash', 1), (' Cinema', 1), ('Coffee & Tea', 1), ('Automotive', 1), ('Cheesesteaks', 1), ('Day Spas', 1), (' Middle Eastern', 1), ('Dance Studios', 1), ('Tapas Bars', 1), (' Sports Wear', 1), ('Barbeque', 1), ('Seafood', 1), (' Sushi Bars', 1), (' Irish', 1), ('Cafes', 1), ('Hobby Shops', 1), (' Printing Services', 1), ('Lingerie', 1), (' Tax Services', 1), ('Hardware Stores', 1), ('Kitchen & Bath', 1), ('Chinese', 1), (' Bagels', 1), (' Cupcakes', 1), ('Health & Medical', 1), (' Delis', 1), (' Wigs', 1), (' Internet Service Providers', 1), (' Tours', 1), (' Home Decor', 1), ('Pet Groomers', 1), (' Party & Event Planning', 1), ('Latin American', 1), (' Auto Parts & Supplies', 1), ('Korean', 1), (' Chiropractors', 1), (' Lebanese', 1), ('Used', 1), (' Florists', 1), (' Waxing', 1), ('Doctors', 1), (' Home Services', 1), ('Gastropubs', 1), ('Irish', 1), ('Bridal', 1), (' Gelato', 1), (' Hair Stylists', 1), ('Piercing', 1), (' Tapas Bars', 1), (' Pet Services', 1), (' Cambodian', 1), ('Barbers', 1), ('German', 1), (' Toy Stores', 1), (' Jewelry', 1), (' Food Trucks', 1), (' Cosmetic Surgeons', 1), (' Ophthalmologists', 1), ('Books', 1), ('Wine Bars', 1), (' Pretzels', 1), (' Chocolatiers & Shops', 1), (' Bed & Breakfast', 1), (' Bike Repair/Maintenance', 1), ('Libraries', 1), (' Karaoke', 1), (' Art Supplies', 1), (' Professional Services', 1), ('Electronics', 1), (' Mountain Biking', 1), ('Massage Therapy', 1), (' Vegetarian', 1), (' Cosmetic Dentists', 1), ('Accountants', 1), (' Southern', 1), ('Flowers & Gifts', 1), ('Reflexology', 1), (' Financial Advising', 1), (' Mongolian', 1), (' Guitar Stores', 1), (' Arts & Crafts', 1), ('Professional Services', 1), ('Hot Dogs', 1), (' Farmers Market', 1), (' Hair Salons', 1), ('Skin Care', 1)]"
15,16,"[(' Restaurants', 2), ('Bars', 1), ('Shopping', 1), (' Shopping', 1), (' American (Traditional)', 1), (' Jewelry', 1), ('Tobacco Shops', 1), (' Antiques', 1), (' Italian', 1), (' Nightlife', 1), ('Pizza', 1), (' Pizza', 1), ('Restaurants', 1)]"
16,17,"[(' Car Dealers', 1), ('Automotive', 1), (' General Dentistry', 1), (' Dentists', 1), ('Health & Medical', 1)]"
17,18,"[(' Parks', 1), ('Active Life', 1)]"
18,19,"[(' Restaurants', 69), ('Food', 32), (' Shopping', 24), ('Local Services', 13), (' Coffee & Tea', 12), (' Food', 9), ('Shopping', 8), (' Beauty & Spas', 8), (' Nightlife', 8), ('Bakeries', 8), ('Pizza', 8), (' Desserts', 7), (' Nail Salons', 6), (' Sewing & Alterations', 6), (' Ice Cream & Frozen Yogurt', 6), (' Fashion', 6), ('Chinese', 6), ('Middle Eastern', 5), (' American (New)', 5), ('Hair Salons', 5), ('Thai', 5), (' Home Services', 5), (' Chinese', 5), (' Dry Cleaning & Laundry', 5), (' Sandwiches', 5), (' Dentists', 4), (' Real Estate', 4), (' Mags', 4), (' Music & Video', 4), ('Active Life', 4), ('Beauty & Spas', 4), ('Bars', 4), (' Specialty Food', 4), (' Fitness & Instruction', 4), ('Sushi Bars', 3), ('Restaurants', 3), ('Delis', 3), ('Breakfast & Brunch', 3), ('Banks & Credit Unions', 3), (' Vintage & Consignment', 3), ('Health & Medical', 3), (' Financial Services', 3), ('Pubs', 3), (' Bars', 3), (' Books', 3), (' Event Planning & Services', 3), (' General Dentistry', 3), (' Jewelry', 3), ('Tobacco Shops', 3), (' Japanese', 3), (' Public Services & Government', 3), ('Arts & Entertainment', 2), (' Cafes', 2), (' Gluten-Free', 2), (' Breakfast & Brunch', 2), ('Music & DVDs', 2), ('Fashion', 2), (' Diners', 2), (' Italian', 2), (' Cinema', 2), ('Hobby Shops', 2), ('Used', 2), ('Asian Fusion', 2), (' Bagels', 2), (' American (Traditional)', 2), ('Italian', 2), (' Vegan', 2), (' Health & Medical', 2), ('Real Estate Services', 2), (' Sports Bars', 2), ('Vegetarian', 2), (' Drugstores', 2), ('Property Management', 2), (' Pizza', 2), (' Home & Garden', 2), (' Grocery', 2), (' Beer', 2), (' Bookstores', 2), (' Wine & Spirits', 2), (' Mediterranean', 2), (' Yoga', 2), (' Flowers & Gifts', 2), (' Home Decor', 2), (' Electronics', 2), (' Candy Stores', 1), ('Sandwiches', 1), ('Pets', 1), (' Juice Bars & Smoothies', 1), ('Churches', 1), (""Children's Clothing"", 1), (' Martial Arts', 1), (' Fruits & Veggies', 1), (' Shoe Repair', 1), ('Post Offices', 1), ('Pediatric Dentists', 1), (' Photography Stores & Services', 1), (' Bowling', 1), ('Books', 1), (""Men's Clothing"", 1), ('Party Supplies', 1), (' Child Care & Day Care', 1), ('Hair Removal', 1), (' Latin American', 1), (' Southern', 1), (' Delis', 1), ('Sporting Goods', 1), (' Pet Services', 1), (' Eyewear & Opticians', 1), (' Local Services', 1), ('Pet Groomers', 1), (' Pets', 1), ('Education', 1), (' Barbeque', 1), (' Gas & Service Stations', 1), ('American (New)', 1), (' Meat Shops', 1), (' Arts & Crafts', 1), (' Apartments', 1), (' Filipino', 1), ('Coffee & Tea', 1), ('Optometrists', 1), (' Middle Eastern', 1), (' Donuts', 1), (' Organic Stores', 1), (' Carpet Cleaning', 1), ('Szechuan', 1), ('Musical Instruments & Teachers', 1), (' Bubble Tea', 1), (' Watches', 1), (""Women's Clothing"", 1), ('Greek', 1), ('Burmese', 1), (' Religious Organizations', 1), (' Insurance', 1), ('Community Centers', 1), (' Bikes', 1), (' Buffets', 1), (' Skin Care', 1), (' Shoe Stores', 1), (' Macarons', 1), ('Lingerie', 1), (' Korean', 1), (' Used', 1), (' Mobile Phones', 1), (' Party & Event Planning', 1), ('Latin American', 1), ('Automotive', 1), ('Korean', 1), (' Watch Repair', 1), (' Lebanese', 1), (' Engraving', 1), (' Florists', 1), ('Handyman', 1), (' Active Life', 1), (' Art Classes', 1), ('Massage', 1), (' Gay Bars', 1), ('Ramen', 1), ('Malaysian', 1), (' Signmaking', 1), ('Barbers', 1), (' Vietnamese', 1), (' Toy Stores', 1), ('Taiwanese', 1), ('American (Traditional)', 1), (' Printing Services', 1), (' Cards & Stationery', 1), (' Chocolatiers & Shops', 1), (' Thrift Stores', 1), (' Vinyl Records', 1), (' French', 1), ('Libraries', 1), (' Karaoke', 1), (' Professional Services', 1), (' Pet Stores', 1), (' Vape Shops', 1), (' Bakeries', 1), (' Vegetarian', 1), (' Shaved Ice', 1), (' Tea Rooms', 1), ('Lebanese', 1), (' Baby Gear & Furniture', 1), (' Dim Sum', 1), ('Gift Shops', 1), ('Flowers & Gifts', 1), ('Indian', 1), (' Taiwanese', 1), (' Tapas Bars', 1), ('Mexican', 1), (' Turkish', 1), ('Financial Services', 1), (' Shipping Centers', 1), (' Convenience Stores', 1), ('Soul Food', 1)]"
19,20,"[(' Restaurants', 6), (' Shopping', 2), ('Food', 2), (' Ice Cream & Frozen Yogurt', 1), (' Food', 1), ('Flowers & Gifts', 1), ('Sushi Bars', 1), ('Pizza', 1), ('Hair Salons', 1), (' American (New)', 1), (' Florists', 1), (' Beauty & Spas', 1), (' Sewing & Alterations', 1), (' Nightlife', 1), ('Bakeries', 1), (' Coffee & Tea', 1), ('Cafes', 1), (' Japanese', 1), ('Local Services', 1), ('Bars', 1), ('Chinese', 1), (' Dry Cleaning & Laundry', 1), ('Arts & Crafts', 1), ('Delis', 1), (' Pizza', 1)]"
20,21,"[(' Restaurants', 2), (' Pizza', 1), ('Italian', 1), (' Sandwiches', 1), ('Pizza', 1)]"
21,22,"[(' Restaurants', 10), ('Food', 5), (' Nightlife', 4), (' Ice Cream & Frozen Yogurt', 2), (' American (New)', 2), (' Bars', 2), (' Coffee & Tea', 2), ('American (New)', 1), (' Food', 1), ('Beauty & Spas', 1), (' Southern', 1), ('Arts & Entertainment', 1), (' Real Estate', 1), (' Pubs', 1), (' Property Management', 1), ('Real Estate Services', 1), (' Gastropubs', 1), ('Pizza', 1), ('Shopping', 1), (' Salad', 1), (' Cafes', 1), (' Beauty & Spas', 1), ('Pubs', 1), (' Photography Stores & Services', 1), (' Shaved Ice', 1), (' Wine & Spirits', 1), ('Bakeries', 1), (' Nail Salons', 1), ('Bars', 1), ('Local Services', 1), (' Desserts', 1), (' Delis', 1), (' Home Services', 1), ('Restaurants', 1), ('Barbers', 1), ('Chinese', 1), (' Dry Cleaning & Laundry', 1), (' Jazz & Blues', 1), ('German', 1), ('Asian Fusion', 1), ('Delis', 1), (' Beer', 1), (' Sandwiches', 1)]"
22,23,"[('Beauty & Spas', 1), (' Nail Salons', 1)]"
23,24,"[(' Restaurants', 3), ('Food', 2), (' Grocery', 2), ('Chinese', 2), ('Tanning Beds', 1), (' Automotive', 1), ('Beauty & Spas', 1), (' Health & Medical', 1), (' Diners', 1), (' Shopping', 1), ('Shopping', 1), ('Optometrists', 1), (' Jewelry Repair', 1), (' Nightlife', 1), (' Eyewear & Opticians', 1), (' Nail Salons', 1), ('Local Services', 1), (' Tires', 1), (' Tanning', 1), ('Bars', 1), ('Auto Repair', 1), (' Jewelry', 1), ('Delis', 1), (' Oil Change Stations', 1), (' Beauty & Spas', 1), (' Spray Tanning', 1)]"
24,25,"[(' Restaurants', 28), (' Shopping', 25), ('Food', 15), (' Fashion', 12), (' Beauty & Spas', 11), ('Shopping', 9), (""Women's Clothing"", 8), (' Nightlife', 8), ('Bars', 7), (' Fitness & Instruction', 6), (' Accessories', 6), ('Hair Salons', 5), (' Flowers & Gifts', 5), ('Fashion', 4), ('Active Life', 4), (' American (Traditional)', 4), (' Coffee & Tea', 4), (' Jewelry', 4), (' Pizza', 4), ('Local Services', 4), (' Juice Bars & Smoothies', 3), (' Sports Bars', 3), ('Restaurants', 3), ('American (New)', 3), (' Arts & Crafts', 3), (' Italian', 3), (' Sports Wear', 3), (' Food', 3), (' Health & Medical', 3), (' Specialty Food', 3), (' Event Planning & Services', 3), ("" Men's Clothing"", 3), (' Toy Stores', 3), (' Yoga', 3), ("" Women's Clothing"", 3), (' Breakfast & Brunch', 2), (' Mags', 2), (' Nail Salons', 2), (' Cosmetic Surgeons', 2), ('Sporting Goods', 2), (' Music & Video', 2), (' Hair Removal', 2), (' Ice Cream & Frozen Yogurt', 2), ('Beauty & Spas', 2), ('Breakfast & Brunch', 2), (' Lounges', 2), (' Bagels', 2), (' Shoe Stores', 2), (' Sporting Goods', 2), ('Doctors', 2), (' Bars', 2), (' Books', 2), (' Cards & Stationery', 2), (' Active Life', 2), (' French', 2), (' Home & Garden', 2), (' Bookstores', 2), ('Mexican', 2), ('American (Traditional)', 2), (' Sandwiches', 2), ('Gift Shops', 2), ('', 1), (' Candy Stores', 1), (' Dentists', 1), (' Barre Classes', 1), (""Children's Clothing"", 1), ('Sushi Bars', 1), (' Cosmetics & Beauty Supply', 1), (' American (New)', 1), (' Gelato', 1), (""Men's Clothing"", 1), ('Cards & Stationery', 1), ('Hair Removal', 1), (' Home Decor', 1), ('Nightlife', 1), (' Dog Walkers', 1), (' Pilates', 1), (' Trainers', 1), (' Post Offices', 1), ('Delis', 1), ('Tanning', 1), (' Pets', 1), (' Creperies', 1), (' Pet Training', 1), (' Optometrists', 1), (' Medical Spas', 1), (' Outdoor Gear', 1), ('Banks & Credit Unions', 1), (' Street Vendors', 1), (' Shipping Centers', 1), (' Gyms', 1), ('Tapas Bars', 1), (' Bubble Tea', 1), ('Thai', 1), ("" Children's Clothing"", 1), (' Burgers', 1), (' Watches', 1), ('Skin Care', 1), (' Desserts', 1), ('Burgers', 1), ('Lingerie', 1), ('Chinese', 1), ('Asian Fusion', 1), ('Health & Medical', 1), (' Kitchen & Bath', 1), (' Dive Bars', 1), (' Vegan', 1), ('Live/Raw Food', 1), (' Mobile Phones', 1), (' Financial Services', 1), ('Pet Services', 1), (' Gastropubs', 1), (' Florists', 1), (' Computers', 1), (' Jewelry Repair', 1), ('Bakeries', 1), (' Spanish', 1), (' Tanning', 1), (' Pet Boarding/Pet Sitting', 1), (' IT Services & Computer Repair', 1), (' General Dentistry', 1), (' Dry Cleaning & Laundry', 1), (' Drugstores', 1), ('Peruvian', 1), (' Chocolatiers & Shops', 1), (' Pubs', 1), (' Gift Shops', 1), (' Cosmetic Dentists', 1), ('Pizza', 1), (' Grocery', 1), (' Latin American', 1), (' Eyewear & Opticians', 1), ('Day Spas', 1), ('Flowers & Gifts', 1), (' Taiwanese', 1), (' Day Spas', 1), (' Public Services & Government', 1), (' Swimwear', 1), (' Convenience Stores', 1)]"
25,26,"[(' Restaurants', 2), (' Gas & Service Stations', 1), (' Specialty Food', 1), (' General Dentistry', 1), (' Dentists', 1), ('Automotive', 1), (' Vegetarian', 1), ('Local Services', 1), (' Climbing', 1), ('Active Life', 1), ('Health & Medical', 1), (' Self Storage', 1), ('Sandwiches', 1), ('Health Markets', 1), (' Rock Climbing', 1), (' Food', 1)]"
26,27,"[(' Restaurants', 2), (' Cards & Stationery', 1), ('Shopping', 1), (' Steakhouses', 1), (' Chicken Wings', 1), ('American (Traditional)', 1), ('Health & Medical', 1), (' Rehabilitation Center', 1), (' Arts & Crafts', 1), (' Health & Medical', 1), ('Retirement Homes', 1), (' Flowers & Gifts', 1), (' Diners', 1), ('Sandwiches', 1), (' Gift Shops', 1), (' Bowling', 1), ('Active Life', 1), (' Pizza', 1), (' Event Planning & Services', 1), (' Chiropractors', 1)]"
27,28,"[('Veterinarians', 1), (' Pets', 1)]"
28,29,"[(' Ice Cream & Frozen Yogurt', 1), ('Food', 1), (' Pet Groomers', 1), (' Pets', 1), ('Pet Services', 1), (' Pet Boarding/Pet Sitting', 1)]"
29,30,"[(' Restaurants', 17), ('Food', 7), (' Shopping', 5), (' Beauty & Spas', 5), ('Hair Salons', 4), (' Ice Cream & Frozen Yogurt', 3), (' Health & Medical', 3), (' Coffee & Tea', 3), ('American (New)', 2), (' Doctors', 2), ('Sushi Bars', 2), ('Pizza', 2), (' Burgers', 2), (' Nail Salons', 2), ('Local Services', 2), ('Greek', 2), (' Hair Stylists', 2), (' Pizza', 2), (' American (Traditional)', 1), ('Beauty & Spas', 1), (' Vintage & Consignment', 1), (' Vegan', 1), ('Musical Instruments & Teachers', 1), ('Acupuncture', 1), ('Sandwiches', 1), (' Hot Dogs', 1), ('Flowers & Gifts', 1), (' Chinese', 1), ('Used', 1), (' Home & Garden', 1), (' Florists', 1), (' Jewelry Repair', 1), (' Italian', 1), (' Kosher', 1), ('Optometrists', 1), (' Nightlife', 1), (' Food', 1), ('Bars', 1), ('Thai', 1), ('Italian', 1), ('Bakeries', 1), (' Heating & Air Conditioning/HVAC', 1), (' Bakeries', 1), (' Japanese', 1), ('Barbers', 1), (' Desserts', 1), ('Dermatologists', 1), ('Hardware Stores', 1), (' Home Services', 1), (' Shoe Repair', 1), ('Restaurants', 1), ('Irish', 1), ('Chinese', 1), (' Day Spas', 1), (' Sports Bars', 1), (' Ophthalmologists', 1), (' Jewelry', 1), ('Moroccan', 1), ('Electricians', 1), (' Traditional Chinese Medicine', 1), (' Sandwiches', 1), (' Hair Extensions', 1), (' Fashion', 1)]"
30,31,"[(' Restaurants', 15), ('Food', 4), (' Shopping', 2), ('Beauty & Spas', 2), (' Beauty & Spas', 2), ('Diners', 2), ('Pizza', 2), (' Nail Salons', 2), (' Coffee & Tea', 2), ('Chinese', 2), ('American (Traditional)', 2), (' Ice Cream & Frozen Yogurt', 1), (' Egyptian', 1), ('American (New)', 1), (' Food', 1), ('Middle Eastern', 1), ('Breakfast & Brunch', 1), ('Barbeque', 1), ('Hair Salons', 1), (' Home & Garden', 1), (' Florists', 1), (' Cafes', 1), ('Turkish', 1), (' Grocery', 1), (' Italian', 1), ('Bakeries', 1), ('Cafes', 1), ('Flowers & Gifts', 1), (' Mediterranean', 1), (' Soup', 1), ('Hardware Stores', 1), ('Restaurants', 1), ('Barbers', 1), (' Bagels', 1), (' Pizza', 1)]"
31,32,"[(' Restaurants', 55), ('Food', 48), (' Nightlife', 19), (' Specialty Food', 18), (' Shopping', 13), (' Grocery', 13), ('Bars', 10), (' Arts & Entertainment', 9), (' Bars', 9), (' Food', 7), (' Coffee & Tea', 7), ('Arts & Entertainment', 6), (' Dance Clubs', 6), ('Shopping', 6), (' Italian', 6), ('Bakeries', 6), (' Home & Garden', 5), ('Restaurants', 4), (' Ethnic Food', 4), ('Seafood', 4), (' Candy Stores', 3), (' American (New)', 3), (' Cafes', 3), ('Nightlife', 3), (' Art Galleries', 3), (' Meat Shops', 3), ('Breakfast & Brunch', 3), (' Lounges', 3), (' Wineries', 3), ('Burgers', 3), (' Music Venues', 3), (' Seafood', 3), ('Vietnamese', 3), (' Food Trucks', 3), (' Performing Arts', 3), ('Mexican', 3), (' Sandwiches', 3), ('Sandwiches', 2), (' Breakfast & Brunch', 2), (' Fashion', 2), ('Dive Bars', 2), (' Local Services', 2), (' Antiques', 2), ('Delis', 2), (' Pets', 2), (' Automotive', 2), (' Diners', 2), ('Hair Salons', 2), (' Street Vendors', 2), (' Sushi Bars', 2), ('Cafes', 2), (' Breweries', 2), (' Beauty & Spas', 2), (' Gay Bars', 2), (' Home Services', 2), (' Seafood Markets', 2), (' Event Planning & Services', 2), ('Wine Bars', 2), (' Pizza', 2), (' Latin American', 2), ('Music Venues', 2), ('Flowers & Gifts', 2), ('American (Traditional)', 2), (' Home Decor', 2), (' Furniture Repair', 1), (' Costumes', 1), (' Real Estate', 1), (' Health Markets', 1), ('Churches', 1), (' Venues & Event Spaces', 1), ('Argentine', 1), ('Soul Food', 1), (' Gluten-Free', 1), (' Sports Wear', 1), (' Fast Food', 1), (' Fabric Stores', 1), ('Italian', 1), ('Grocery', 1), ('Party Supplies', 1), (' Mexican', 1), (' Barbers', 1), (' Vegan', 1), (' Interior Design', 1), (' Dog Walkers', 1), ('Sporting Goods', 1), (' Local Flavor', 1), (' Mags', 1), (' Music & Video', 1), (' Hair Removal', 1), (' Caterers', 1), (' Cocktail Bars', 1), ('Event Planning & Services', 1), (' Ice Cream & Frozen Yogurt', 1), (' Hotels & Travel', 1), (' Arts & Crafts', 1), (' Furniture Stores', 1), (' Apartments', 1), ('Automotive', 1), (' Social Clubs', 1), (' Carpet Cleaning', 1), (' Wholesale Stores', 1), ('Lounges', 1), ('Midwives', 1), ('Thai', 1), (' Accessories', 1), (' Irish', 1), ('Cajun/Creole', 1), (' Steakhouses', 1), (' Limos', 1), (' Hair Stylists', 1), (""Women's Clothing"", 1), (' Desserts', 1), ('Kitchen & Bath', 1), (' Religious Organizations', 1), (' Furniture Reupholstery', 1), ('Chinese', 1), ('Greek', 1), ('Arts & Crafts', 1), (' Carpeting', 1), ('Veterinarians', 1), (' American (Traditional)', 1), (' Wigs', 1), (' Tobacco Shops', 1), (' Tours', 1), (' Cheese Shops', 1), (' Health & Medical', 1), (' Self Storage', 1), (' Herbs & Spices', 1), ('Pet Services', 1), (' Florists', 1), (' Airport Shuttles', 1), ('Pubs', 1), ('Diners', 1), ('Yelp Events', 1), (' Souvenir Shops', 1), ('Flea Markets', 1), (' Appliances', 1), (' Parking', 1), (' Rugs', 1), (' Pet Boarding/Pet Sitting', 1), (' Caribbean', 1), ('Peruvian', 1), ('Books', 1), (' Empanadas', 1), (' Transportation', 1), (' Chocolatiers & Shops', 1), ('Opera & Ballet', 1), ('Home Services', 1), ('Sushi Bars', 1), (' Bookstores', 1), (' Wine & Spirits', 1), ('Hotels & Travel', 1), ('Local Services', 1), ('Soup', 1), (' Popcorn Shops', 1), (' Polish', 1), (' Truck Rental', 1), ('Auto Repair', 1), (' Belgian', 1), (' Beer', 1), (' Donuts', 1), (' Farmers Market', 1), (' Convenience Stores', 1), (' Distilleries', 1), (' Colombian', 1)]"
32,33,"[(' Restaurants', 13), (' Shopping', 3), ('Chicken Wings', 2), (' American (Traditional)', 2), ('Pizza', 2), ('Food', 2), (' Fast Food', 2), (' Nightlife', 2), (' Wine & Spirits', 2), ('Burgers', 2), (' Beer', 2), (' Ice Cream & Frozen Yogurt', 1), (' Chiropractors', 1), (' Active Life', 1), ('Beauty & Spas', 1), (' Hot Dogs', 1), ('Buffets', 1), ('Breakfast & Brunch', 1), (' Tex-Mex', 1), ('Pilates', 1), ('Fast Food', 1), (' Beauty & Spas', 1), (' Gyms', 1), ('Toy Stores', 1), (' Oil Change Stations', 1), ('Diners', 1), (' Food', 1), ('Thai', 1), (' Do-It-Yourself Food', 1), (' Bars', 1), (' Nail Salons', 1), (' Fitness & Instruction', 1), (' Chinese', 1), (' Mexican', 1), (' Books', 1), (' Tires', 1), (' Cambodian', 1), (' Tanning', 1), (' Mags', 1), (' Comic Books', 1), (' Music & Video', 1), ('Bars', 1), ('Thrift Stores', 1), ('Auto Repair', 1), ('Tobacco Shops', 1), (' Hobby Shops', 1), ('Health & Medical', 1), ('Delis', 1), (' Sandwiches', 1), (' Automotive', 1)]"
